Mass (u)	P1_2000μC-P	P1_500μC-P	P1_5000μC-P	P1_10000μC-P	P1_15000μC-P	P2_2000μC-P	P2_500μC-P	P2_5000μC-P	P2_10000μC-P	P2_15000μC-P	P3_2000μC-P	P3_500μC-P	P3_5000μC-P	P3_10000μC-P	P3_15000μC-P
0	0.04928875417247025	0.3739890358548952	0.043274948880285	0.038534906707842854	0.033325943759992385	0.04276842602629464	0.3342198079044202	0.039393167735795084	0.03726910693086253	0.029845024315512607	0.04581410980514436	0.38648394851780227	0.04247967158918279	0.035616660578928094	0.03221589797690919
1	0.5769171252103102	2.755608981036382	0.45773357917911517	0.38087592456792063	0.3459273369513368	0.5024646830250086	2.814235037320207	0.4513523672509742	0.3712916546198029	0.2976143289237004	0.5279119084739102	2.88235106291472	0.4699444726694629	0.3960351464141575	0.35809650275131016
2	0.060218816902236405	0.30795235085138506	0.04750252157687806	0.044160661347519205	0.03264471650061028	0.04595679940147694	0.3185754466316529	0.045424473361108116	0.0359972209028599	0.03200181337277305	0.05534971553063876	0.2972454738135662	0.04510294114662213	0.03704210408271164	0.03576656456784497
3	0.027934856993197265	0.15319868372712814	0.026060792195294717	0.0	0.01361746864775247	0.01603287274838635	0.0	0.025264374335362844	0.011807806228923017	0.020426574828768595	0.02384555462515877	0.19839087255066065	0.021232785891574645	0.012518833627203537	0.0260458951433349
4	0.0	0.1569798735460758	0.0	0.017613573760548246	0.011393041925176246	0.01642858982460263	0.0	0.02113738738446979	0.0	0.009866843355286436	0.0	0.0	0.0	0.012827818568226885	0.0168794345192893
5	0.019673246790293784	0.15258070571990817	0.023694174120502145	0.012105650434361615	0.01107376594191013	0.015968198806613414	0.0	0.01452753576592237	0.008315699845900058	0.009590337209282495	0.02056760626149029	0.1975905967709558	0.018313957309497243	0.019714168195558386	0.02009366544408242
6	0.019029511281083242	0.0	0.020499259062748843	0.008279893028197793	0.007574115733431142	0.01544575645052945	0.16093786859268988	0.0	0.013931921775566833	0.006559496049201051	0.011486126969347083	0.19112516253005965	0.010227586587827745	0.00852795794848305	0.0
7	0.03584088772785027	0.21975670709608702	0.018057728159040602	0.0165406245276415	0.01672762184806792	0.020570433500254108	0.25133068372700196	0.023856482175141025	0.014171158077430086	0.0144868091915496	0.03245008119888807	0.2323609604616699	0.02153669648167344	0.019671686553218857	0.012942455620688536
8	0.031092211922405067	0.12057164961337491	0.026479035201895262	0.009566073479783397	0.012375305283996664	0.025236638700596798	0.18593760467609494	0.011479884981853379	0.013142391016992614	0.007578433801416398	0.013270356780299114	0.0	0.016710796454326292	0.013933782737929574	0.0
9	0.0	0.0	0.014912358831976887	0.012046555980283528	0.015584221487721622	0.0	0.0	0.0	0.0	0.0	0.0	0.1605444946858488	0.014880288181728029	0.0	0.011544451774324052
10	0.0	0.0	0.0	0.0	0.01918400203322223	0.02766303351361321	0.0	0.014530320635722013	0.0	0.01356538488007196	0.016796556696602318	0.16136297338724082	0.014956150010382769	0.0	0.011603307033827163
11	0.029060100394336565	0.0	0.019170051222875604	0.015486020541973473	0.018288219127905757	0.016678692566466008	0.17378517399967014	0.023992087142655324	0.01737140210796144	0.015838350685206296	0.021482692782293193	0.16851040248171412	0.019128823941870054	0.0	0.020987718936494697
12	0.1869697375414921	1.671875882602471	0.1503757695573786	0.12940392732883263	0.12052621828068084	0.158141419429485	1.7996321948974952	0.14837941082949294	0.1257210539181399	0.10230993128450333	0.16723313018874264	1.7575925617456254	0.15108527825274348	0.1322091334703113	0.12485106447972052
13	0.292952721264687	1.8210168517491776	0.2358407470253546	0.19701484939990138	0.18130042953050673	0.2525742205384326	1.9128038017154751	0.23066956048015724	0.1897281894577643	0.1541244832177792	0.26678373834746993	1.9144776601796456	0.237740060344523	0.20298378402149264	0.18701174497126122
