	PC1	PC2	PC3
m0.000	-0.00025871324969743866	-0.00270270898058058	0.0033106186397759622
m1.000	0.16338515741822268	0.12908316375945605	-0.18413243008723718
m2.000	0.0013757650804906553	0.0009271637627706758	0.0014397952485849907
m3.000	0.0005194653135846468	9.760578367942902e-05	0.0028933698195668777
m4.000	0.0003552541751255226	-0.0017309391996132323	0.0004493155670507159
m5.000	0.0002312072079774867	7.134388509605331e-06	-0.003716348571744615
m6.000	-0.0003735981887293738	0.0008614079981268558	0.001825618034076747
m7.000	-0.0010247349138775342	0.000995737558450055	0.0007511943928081656
m8.000	7.759370123329279e-05	0.0022690574656136753	0.0018565036255515747
m9.000	6.530129277525673e-05	-0.0012214630932317948	-0.0037173169894547716
m10.000	0.0003236486394518613	-0.0001543424458106074	0.002963856575052127
m11.000	0.0005035586351751609	-0.00012478840185681594	0.0020624143636987593
m12.000	-0.056523547782957505	-0.07108149959385444	0.028001876328298897
m13.000	0.0057638938455900224	-0.009376762814171581	-0.028637816076530136
m14.000	0.031102386096764075	0.03895518909900371	-0.03719246171697921
m15.000	0.024042464785239626	0.012645155425822494	-0.017047334217136702
m16.000	-0.22311101171873846	-0.05585344952200983	0.13477533980891726
m17.000	-0.020235405321695276	0.09081716652476098	-0.017220670737003087
m18.000	-0.009297865624361842	-0.001766673743183381	0.01073281258367819
m19.000	-0.15012096756657264	-0.034957071248229714	0.08885722039012031
m20.000	-0.0002597416997846083	-0.0005864240824211666	0.002471624738816261
m21.000	0.0003113703985495325	-0.0017808123564547673	0.003938080120870166
m22.000	-0.00017217926532153726	-0.0015892871246594947	-0.001507509915675088
m23.000	-0.0003033274424216203	-0.0006836407280400415	-0.0002598123401544301
m24.000	-0.12659386400975634	-0.1862369040457137	0.07914523455355094
m25.000	-0.023803000079191727	-0.2494737304609711	-0.027378599498489378
m26.000	-0.08650441909911245	-0.09964785122643671	0.10908402966016513
m27.000	0.037950112582208595	-0.0008457132505727872	-0.02393934556409396
m28.000	-0.056148890137165584	-0.02454493162877062	0.042103700079398114
m29.000	-0.028394199436063083	-0.028752235308622965	0.023155395900788647
m30.000	-0.01906521766511507	-0.007817034730387034	0.016277218562530074
m31.000	-0.0015196700687979848	-0.00381675963450846	0.002105247169946064
m32.000	-0.019425062204860927	0.024499465232178667	-0.0010266778306170104
m33.000	0.007173257371324814	0.038720422484066465	-0.006496650157124637
m34.000	0.0012135347489626218	0.007855248492310214	0.001925513649715664
m35.000	0.2608962251829528	0.41224384889793364	0.47609192196419015
m36.000	-0.02935059703711105	-0.09791537381636314	0.010310892913476302
m37.000	0.11572078819855686	0.15383752149562707	0.2453883062679449
m38.000	0.03595539247590345	-0.03516144783229452	-0.0314488856695266
m39.000	0.0370329330300863	-0.05175118057269551	-0.021608830940566072
m40.000	0.00813725631030404	-0.04222536396796093	-0.006418216610088699
m41.000	0.12547042061085176	-0.1388199245972816	-0.07494839859210117
m42.000	0.01781035171794421	-0.011673636533201285	0.013065702723887332
m43.000	0.10664309429523772	0.039960083448482155	-0.09193043641338898
m44.000	0.012421042423116228	0.00458962160177846	-0.017150387654643013
m45.000	0.11426318598563373	-0.13762329769530454	-0.07452203330516602
m46.000	0.014852499694611405	-0.010312380736490396	0.0031884432005312695
m47.000	0.003776402628269843	-0.0017429919936888508	0.014272182681599278
m48.000	-0.053061989094062546	-0.13440941879341117	0.025563685425982134
m49.000	0.04254301210671147	-0.24919086467300555	-0.038692428032290054
m50.000	-0.0010882068880441744	-0.07471275357535559	0.003998347497178421
m51.000	0.056553421300449165	-0.037977356810835805	-0.0399527457223243
m52.000	0.009018082485742603	-0.039110832437459934	0.003155626697036533
m53.000	0.06298794851153734	-0.06710852907118789	-0.016938694645903342
m54.000	0.019302651116711034	-0.016290344622366625	-0.004887108071395885
m55.000	0.04943609799233908	-0.058194179928205005	-0.012711429771405219
m56.000	0.004010823010233061	-0.005190674363701406	0.0005289577591119522
m57.000	0.023663043095603666	-0.009487657610673631	-0.004241165689348888
m58.000	0.04037445794528725	0.027726441091559185	-0.027931144560759114
m59.000	0.09691323600884383	0.10663782789256908	-0.09910661791019923
m60.000	-0.18549798593680833	-0.18808695974152673	0.13111763415158348
m61.000	-0.06335639100212005	-0.14098376535604745	0.047206442561292083
m62.000	0.00727540705828507	-0.10331589432543531	0.00811009790448508
m63.000	0.0066260346085437434	-0.07568136848174592	-0.004211893894778584
m64.000	0.025923895024142322	0.008254501517134265	-0.020998427160710414
m65.000	0.07999852496113148	-0.12355309211225958	-0.03131333731292743
m66.000	0.0266772011755176	-0.037119898998587655	-0.007332970402848799
m67.000	0.08650872226115142	-0.057170608502715686	-0.05751871550323495
m68.000	0.006144846938231318	-0.028790210588709342	0.001823507425585997
m69.000	0.0630083418123431	-0.09756010561167194	-0.01923798491858361
m70.000	0.013271204066181265	-0.0205707760855171	0.00196902618295091
m71.000	0.07019427367981843	-0.006226815775436835	-0.022008666975047542
m72.000	-0.03379347619681604	-0.11545677162936759	0.022721989024669365
m73.000	0.022740416843788854	-0.19418266620119604	-0.005175566331839085
m74.000	0.00399887608942815	-0.06758692488353599	0.006468183824776627
m75.000	0.04160395123922706	-0.029234770532574887	-0.02696378839893594
m76.000	-0.19370048702019482	-0.13539409272644734	0.14752585981670707
m77.000	-0.13319728010755588	-0.1428204331806426	0.1200573646138018
m78.000	-0.04027203758977704	-0.04193764842138905	0.05469880611867702
m79.000	-0.02774227519310334	-0.055875453916337504	0.045422778993750024
m80.000	0.025540985862345652	0.045071921078070905	-0.028679165356723584
m81.000	0.0253864497884955	0.004960286516107454	-0.0042490644908986745
m82.000	0.01730583880355022	-0.016689522972240533	-0.00582165335183316
m83.000	0.05664363551128841	-0.02165169603532809	-0.03823691016083282
m84.000	-0.013810653146975735	-0.08406187476039301	0.010249502594232112
m85.000	0.019046497647706006	-0.088308064378848	-0.0060426502976963685
m86.000	0.018417890697189555	-0.07821924807016513	-0.006982136110760053
m87.000	0.0349817139162371	-0.04498375433265856	-0.01033646067051221
m88.000	0.013610366782846328	-0.035772255244772774	-0.001070811973585358
m89.000	0.03678542559650845	-0.0716716548408219	-0.009772586031284418
m90.000	0.015825038343171574	-0.027386768556725408	-0.003929600067616385
m91.000	0.04100532525455924	-0.04510003038097171	-0.015846782984190882
m92.000	0.017972058646232594	-0.012367584260651354	-0.005489366582557688
m93.000	0.04232733662787951	-0.04243144240438674	-0.0033126176221553805
m94.000	0.019283177050681357	0.002301135138824613	-0.0012190936213033038
m95.000	0.0539935303870163	0.0009708711807730159	0.03804762700755533
m96.000	-0.01935858505064531	-0.06291072119416788	0.012695044186787206
m97.000	0.013133490572996226	-0.09584608643771965	0.028167161711879402
m98.000	0.0015361681210505722	-0.050130297899685934	0.005221049343078517
m99.000	0.0261119727575708	-0.04048565458824759	0.0036100703372081004
m100.000	0.004208028729401391	-0.02426527724475006	0.0043156495944079885
m101.000	0.020415671816924986	-0.04736614875297483	-0.0013252400204643796
m102.000	0.02224769972097338	0.0058026865674766235	-0.01461811165702806
m103.000	0.054095293746306866	-0.019027914452626013	-0.03976382872834134
m104.000	0.007904297285444848	-0.022986337960105904	0.010977544442231058
m105.000	0.021398575050903076	-0.027926930656248607	0.008374576295241536
m106.000	0.016140019149690002	-0.02203445647166539	3.389513385343581e-05
m107.000	0.02597329775731789	-0.031018298225370944	-0.010195129351064987
m108.000	-0.005197858917424278	-0.061434769346295784	0.015231490742322046
m109.000	0.007495981272304981	-0.07524836254052106	0.008459161672969591
m110.000	0.008405896149453617	-0.05762830380745286	0.013264828700370986
m111.000	0.02619202690497839	-0.048925641180802226	0.008362913921770783
m112.000	0.011882218172760257	-0.023996019015198204	0.019532043604969483
m113.000	0.034284974714253874	-0.023531037241274557	0.04720258054702258
m114.000	0.0144138862446943	-0.017414007477763886	0.01894954754810556
m115.000	0.03043703689318942	-0.02007755007817592	0.03409195683869971
m116.000	0.015527119724748694	-0.01785862279639386	0.009184050039826657
m117.000	0.022716695301619814	-0.03552451405921773	0.013012613995083898
m118.000	0.015923645126402233	-0.00011961938824230587	0.003221077146753053
m119.000	0.08078689431295948	0.018271327086941742	-0.05023530271005286
m120.000	-0.028110563170277644	-0.0518018779030661	0.03291627644088731
m121.000	0.013979796561353808	-0.06615505529095023	0.017291017647501426
m122.000	0.001450946154171109	-0.029078478340491185	0.020143748928422998
