	PC1	PC2	PC3
m0.000	-7.669237480902789e-22	-1.4121101306455597e-16	-8.453750187375043e-17
m1.000	-0.051647217031384376	-0.07130779438294357	0.023721286063750208
m2.000	-0.00336833532077343	-0.018601029399976314	0.0013233766901279928
m3.000	0.001496464927133559	-0.0059376081206601195	-0.0008247765092691069
m4.000	-0.0005988011343280663	-0.0008753016624130703	-0.00041867641171463335
m5.000	-4.437330516259215e-31	-3.561221584397777e-25	-1.4883461328461845e-24
m6.000	0.0004878733014527792	0.005898714555205754	0.004097762220080807
m7.000	-0.0022833586185902754	0.013823642648937108	0.015398984963064025
m8.000	-3.80019523129352e-32	1.0668619602107594e-26	-1.0980183069169185e-25
m9.000	5.1791667877086446e-05	0.000647424361229081	-0.0008106110520473474
m10.000	0.0009695153851090549	-0.0005281997310246234	0.0011309033184768427
m11.000	0.003370290209159514	-0.008948507396379864	0.0033392589809434193
m12.000	-0.029899194824668036	-0.02641507387839127	0.006866620747891008
m13.000	-0.017539451175260085	-0.02807545328584139	0.00841170082346828
m14.000	-0.01552652606688548	-0.04302479307875518	0.015025080989311542
m15.000	0.010874630861896039	-0.04161057346897015	0.010738406314930539
m16.000	-0.004722411125308316	-0.007299528502400254	-0.00011324476897500774
m17.000	-0.005629985818911934	-0.0030220357875614706	0.0032728854509824793
m18.000	0.013810953042806162	0.05264776959179971	0.0166433956240618
m19.000	0.036359983058618435	0.0011753109894369008	-0.005434240198419565
m20.000	0.001963419934396002	0.0028733348928414388	0.0028309721654948485
m21.000	-0.00014482928599343365	-0.001259452747798053	-0.0018934701684144306
m22.000	0.0011137060544646796	-0.0009934267621975875	2.8250789141893408e-05
m23.000	0.0182069847964873	0.47517456629580973	0.8304016786223177
m24.000	-0.0070008117792154404	0.041142383696312866	0.14633699225667968
m25.000	-0.026450536023692153	-0.011213585314780838	0.027810210611668662
m26.000	-0.0337517990908213	-0.06185122845948142	0.02001764640418393
m27.000	0.24488413315933202	-0.31983687238970115	0.1052801911072082
m28.000	-0.0983267937010825	-0.2247745362626312	0.11528658004432657
m29.000	0.18322523630977294	-0.1416427328737204	0.045139734938933064
m30.000	0.007374948727398969	-0.008609515178067396	0.025961367247881485
m31.000	0.06654464428470495	0.11720822057407165	-0.07963122210101256
m32.000	0.007646969213875877	0.010907610709987433	-0.00456379916994525
m33.000	0.005322452859662941	0.006584245178478541	0.00021651944915262685
m34.000	0.0011165060133957088	0.0014377852614928842	0.005518610416054201
m35.000	0.004614533025022542	-0.0006300720374382872	0.0003810164205672405
m36.000	-0.01768949593563399	-0.009262791317768427	0.00562584338456449
m37.000	-0.06364580839140448	-0.039468397992188535	0.007010393761805361
m38.000	-0.046189363551558844	-0.030912889788330514	-0.005880604620741331
m39.000	0.01634311903088526	0.016324383188457386	0.02219317053431781
m40.000	0.034204295504730385	0.017538821621317775	0.023855350963630822
m41.000	0.2995894100314505	-0.03396065121509771	-0.0064451855574893975
m42.000	0.09411848613320892	-0.04162738790345399	0.031154275493031985
m43.000	0.2683550265881212	-0.028269565792499396	-0.006256202468852747
m44.000	0.04390113429556421	-0.012090171620989375	0.012797003455218434
m45.000	-0.20098608426050898	-0.16785941417546546	0.07145599000692604
m46.000	-0.03991472591814082	0.009105403335087005	0.018301494691220714
m47.000	-0.041164088896980054	-0.028341625802231648	0.013770039332729373
m48.000	0.0001589558917897256	-0.005607097614380322	0.005327860772079835
m49.000	-0.03648122945820163	-0.02500077715715207	0.010656345048985999
m50.000	-0.10431416783419845	-0.02592364377419286	-0.017643196790490465
m51.000	-0.09298479459943393	0.051920790725156624	-0.073027725680936
m52.000	-0.017526896320987116	0.02563432801567881	-0.02117179797672836
m53.000	0.010867816088131355	0.06123079749878506	-0.06650580591516324
m54.000	0.032217290841275115	-0.015156707966180552	0.009329054861554819
m55.000	0.2252225150403106	0.06563924059972677	-0.05634347365653268
m56.000	0.06887711721150959	-0.009544079351406517	0.02452380210365531
m57.000	0.1933648480521793	-0.017071202305415235	0.05952280782255893
m58.000	0.05573601265934361	0.039367809052099606	0.000823817120802924
