	PC1	PC2	PC3	dose	pattern
P1_SQ1_r500	0.15418236787240225	-0.011271515662082702	0.13742705124087284	500.0	P1
P1_SQ2_2000	-0.46774160105934887	0.003631993154905348	0.0032457323337799597	2000.0	P1
P1_SQ3_5000	0.13663648452494512	-0.03281458794005895	-0.010350752862268693	5000.0	P1
P1_SQ4_10000	0.10971183212131483	0.024308541374781584	-0.028714920617966277	10000.0	P1
P1_SQ5_15000	0.08720071676021524	0.06066105566575637	-0.047617334819843114	15000.0	P1
P2_SQ1_r500	0.154775260236246	-0.07795192557917607	0.004350801482479525	500.0	P2
P2_SQ2_2000	-0.48266332082346064	-0.03442788519158421	0.0058013484258952735	2000.0	P2
P2_SQ3_5000	0.1344647972403159	-0.04556280269155967	-0.010361957537021625	5000.0	P2
P2_SQ4_10000	0.10423075378662475	0.025692555420422505	-0.03570618251890686	10000.0	P2
P2_SQ5_15000	0.062296517618258204	0.14687319438200422	0.06356894402028454	15000.0	P2
P3_SQ1_r500	0.1571710785413891	-0.07919528724080062	0.006518775118899802	500.0	P3
P3_SQ2_2000	-0.48298588381014784	-0.005342765502068275	0.00024395365598672226	2000.0	P3
P3_SQ3_5000	0.14136902140345256	-0.0499264211736425	-0.00537042144440154	5000.0	P3
P3_SQ4_10000	0.10931827202902988	0.01671906469867338	-0.036944570465209145	10000.0	P3
P3_SQ5_15000	0.08203370355876306	0.05860678628442919	-0.0460904660125814	15000.0	P3
