	MAF1	MAF2	MAF3	MAF4	MAF5	MAF6	MAF7	MAF8	MAF9	MAF10	dose	pattern
P1_SQ1_r500	-0.0016407130888531156	-0.0049707010205295886	-0.0031233406188787244	0.006333042202129024	-0.0068372560521261705	0.001384943646976046	0.009239130274007534	-0.009615731929979061	-0.007386739901176761	0.0239907182886277	500.0	P1
P1_SQ2_2000	0.003050267902410943	-0.00780615027685345	0.0067739876409697915	0.011207866987662296	0.011039004351433122	-0.013701254550815733	0.0018314847970261495	-0.00966111838740893	0.008955521225697913	0.01666185137748434	2000.0	P1
P1_SQ3_5000	-0.004727408638950198	-0.011797625095019948	-0.007354605302376674	0.009136089657665238	-0.012163412660805045	0.0013406856768189493	0.008899968373369331	8.932194706034625e-05	-0.0015436908982975602	-0.0099561209260658	5000.0	P1
P1_SQ4_10000	0.005473857324843406	-0.011012410286668268	0.009498140522422201	0.006236172236056693	0.00837366320538317	0.0002526196465136026	-1.1511562986514411e-05	0.010806354685331022	-0.006213690564117488	-0.023615162190982274	10000.0	P1
P1_SQ5_15000	-0.007163608420462705	-0.011428178500518141	-0.0076696487751325175	-0.0017318527428467892	-0.0018391936609225168	-0.0013344098299971012	-0.009241776998428118	0.01335969565681721	0.009585580049965618	-0.009956939047437177	15000.0	P1
P2_SQ1_r500	0.007966386558665366	-0.007287371966573947	0.007246889207089364	-0.008909831848145896	-0.003922700382427062	0.013725846903309268	-0.0019869870292518912	0.005961796140246263	-0.0033076913896373963	0.016703300230495793	500.0	P2
P2_SQ2_2000	-0.008781318794933275	-0.004377196983914815	-0.0037635067904770603	-0.01413416440154216	0.01098680965527178	-0.0012714219105543318	-0.008739759550448168	-0.005478886692255054	-0.0049739910228489845	0.024297103571410968	2000.0	P2
P2_SQ3_5000	0.009616148353424623	-0.0004046323076342174	0.00035228939223664934	-0.01707183089709355	-0.010418548115397379	3.038440413492307e-05	-0.000254454396606202	-0.01117132380002741	0.009495991133773848	5.598942779838552e-05	5000.0	P2
P2_SQ4_10000	-0.00854898232898679	0.005122050210811265	0.0026069871203854168	-0.013717777308374424	0.010297531427790005	0.001486410095554207	0.009436814348392742	-0.0055054874146354335	-0.00467592742715191	-0.024409008172272224	10000.0	P2
P2_SQ5_15000	0.009247704512648261	0.00725318755547432	-0.006585563146033469	-0.008598402128336359	-0.003364136987924867	-0.013987940679514737	0.0019713544213201344	0.006004688074348692	-0.003354369727149217	-0.016788977589631455	15000.0	P2
P3_SQ1_r500	-0.007503066977018748	0.011672324841328094	0.007341208164918981	-0.0016647185541881638	-0.0026622443846559866	0.0011042103345683641	0.00910844450639273	0.013438143192855646	0.009503442044307295	0.010168443784445714	500.0	P3
P3_SQ2_2000	0.006899248778557809	0.010551685211150725	-0.009195894189441415	0.00680322513157278	0.008349849876518154	0.00039916526054879217	0.00017993539072646734	0.010783193656057372	-0.005867353975680998	0.02372477417395921	2000.0	P3
P3_SQ3_5000	-0.005234319286004627	0.011722933099268407	0.007181758857151504	0.008782855641545089	-0.011548260228831205	-0.0019087610965035113	-0.009171387345547228	-0.00012012745755735389	-0.0018338289780008667	0.00991586510546704	5000.0	P3
P3_SQ4_10000	0.003317911495575342	0.007853973557314556	-0.006110287064824604	0.011253444692693676	0.00977528097191053	0.01410209209960364	-0.0017975254364095655	-0.009582912083994902	0.00885486171413091	-0.01677974139791043	10000.0	P3
P3_SQ5_15000	-0.00197210739091637	0.0049081119623648785	0.002801584981990504	0.006075881331202338	-0.006066387015216507	-0.0016225700006423699	-0.009463729791557476	-0.009307605586858253	-0.007238112283814426	-0.024012096635389724	15000.0	P3
