	MAF1	MAF2	MAF3	MAF4	MAF5	MAF6	MAF7	MAF8	MAF9	MAF10	dose	pattern
P1_SQ1_r500	0.00848184695912386	-4.585789490508475e-05	0.13639787969170364	0.08906129766040281	-0.04473885684462974	-0.01587854418706381	0.002513837774315417	0.0019572865394361263	0.0008641153969520417	-0.0016428818544069856	500.0	P1
P1_SQ2_2000	0.008449656965200262	-7.025816386442529e-05	-0.4378313172845134	0.001161799180407144	0.005550955070211565	0.015023472237506505	-0.0014440440575215583	0.01320431498291015	-0.007867023419071343	-0.00044285493336052365	2000.0	P1
P1_SQ3_5000	0.008292555866455553	-0.000394517052423082	0.12826518653039967	0.021104315983752578	0.018164999926720868	0.008574943012770791	0.007062543776533863	-0.008200555618195446	0.00020962076637021622	0.004585255357783722	5000.0	P1
P1_SQ4_10000	0.00823292849468081	-9.812507490964279e-05	0.09787564383332008	-0.03544115640276623	0.011359344101345089	-0.0034713779378233436	-0.0015162061376691428	-0.005744661332577399	0.0022569378637725484	0.0002458692672802118	10000.0	P1
P1_SQ5_15000	0.007972532393408761	-2.6392120641843585e-05	0.0752797559279413	-0.07587963111670161	0.009712873912932827	-0.0042403283764158905	-0.006619575503503725	-0.0012328888289343822	0.004548339728738722	-0.0027364079312784183	15000.0	P1
P2_SQ1_r500	-0.004376923614822333	-0.005284406767089561	0.14969313439103438	0.06486500240033745	0.010312041743845472	0.010642368917678242	-0.005526185196411534	0.011222226462638856	0.012218677180448199	0.0016018449068695925	500.0	P2
P2_SQ2_2000	-0.0044125369736239956	-0.005590109449439842	-0.4387804746617006	0.03130367599467313	0.00923661370335001	-0.025749785585675995	-0.007013631818949782	-0.005414604004116265	-0.001552507012754684	0.0037815949019481543	2000.0	P2
P2_SQ3_5000	-0.004458850295824959	-0.005212543071487085	0.12859261157120794	0.03039272480833756	0.010543060194902563	0.0017916978739457214	0.012646607316851338	-0.0008362022867461055	-0.006496913440948441	-0.0060546907139896935	5000.0	P2
P2_SQ4_10000	-0.0038643526348859196	-0.004871568591128502	0.09549817857219166	-0.041446978027197524	0.008804738874586562	-0.003386556333583445	0.00440373828876698	-0.00136338205518676	-0.0007737900459299349	-0.003563642658380418	10000.0	P2
P2_SQ5_15000	-0.004331858585481667	-0.005715712861238096	0.06501313785075755	-0.08511590317269975	-0.03888151595416482	0.016689071858118562	-0.004494911199792678	-0.0035792131727355363	-0.0033821104454278307	0.004172661001115491	15000.0	P2
P3_SQ1_r500	-0.003938001568859204	0.0055371959796622254	0.14929159231087544	0.0672117379118775	0.005460089037965169	0.010074513738786768	-0.018059498393169813	-0.006934724243088626	-0.0055044663156299176	-0.003805823500053517	500.0	P3
P3_SQ2_2000	-0.0040453797297678035	0.005659184828120407	-0.448197063672175	0.004552961537689866	-0.01223547819901323	0.01201775999017661	0.008420785897909447	-0.007668172539681385	0.009328716224455752	-0.003273738637194024	2000.0	P3
P3_SQ3_5000	-0.004222121943595548	0.005257851554015481	0.13275608152241572	0.03683012272169087	0.004419815055652823	0.0001380262707018595	0.007660328869699855	0.002136514716410061	-0.004562317901564092	0.00597632927214801	5000.0	P3
P3_SQ4_10000	-0.003886357953638922	0.005247237048762518	0.09802296958761568	-0.03480796916070692	0.005293018398049172	-0.006786911875113194	0.0026862825339560364	0.0034222991561779566	0.0008859334359869555	0.004008460689471321	10000.0	P3
P3_SQ5_15000	-0.0038931373783689005	0.005608021636566553	0.06812268382892621	-0.07379200031909702	-0.003001699021754358	-0.015438349604009383	-0.0007200721510148235	0.009031762223688768	-0.00017321201539827904	-0.0028519751679529576	15000.0	P3
