Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5	Comp_6
0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0034534430974379224	0.004315844068733135	0.0019587526287148885	0.005762073184424986	0.0012775656903812405	0.009847939958131232
2	0.0010808002399424158	0.0009100581032460897	0.0005912401728645779	0.0011557713887873245	0.00018399154191967387	0.002023305983279494
3	0.0006011032346810728	0.0003927391236392026	0.000447437604230916	0.0007353591714166851	0.00013097765055416428	0.001052636944718623
4	6.544952139311309e-06	3.4365918110281553e-05	0.0	0.0	7.156466947916984e-05	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.00010626866046429165	0.0007985424389772709	0.0	0.0
7	1.447454843509005e-05	0.00014153990799192906	0.0003144836075910946	0.0027633106531116756	7.661007955216671e-05	9.839162814335298e-05
8	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	2.6673467502283115e-05	0.0	0.0	0.0
10	6.563533223207599e-05	0.0	6.443094125455629e-05	0.0003065768439918029	0.0	0.0005187699098284475
11	0.00018425243662193239	0.0	0.0	8.752362957910319e-05	0.0	0.00048083108381804504
12	0.0012329163332087112	0.0019097127290159579	0.0009387264642023601	0.0020904637240055745	0.0005356606376566342	0.0051060445400296795
13	0.0016678121309018014	0.0018289685389119605	0.0010851597501023746	0.0027975515326300305	0.0005339917081352063	0.00441929170771875
14	0.0025743683739129345	0.002482899618424152	0.0013664357669602204	0.004192674138383869	0.0008640818629622608	0.004695861289060612
15	0.004527627888110272	0.0031657575366992397	0.003013430245423388	0.0071914185400554975	0.0016321017094968401	0.004779204357616316
16	0.0006247654998662165	0.0006510727003441808	0.0004984780647975809	0.0008353431208367288	0.00015973752140598384	0.0011399969900832395
17	0.00036255833611001235	0.00048336573754894843	0.0003408493050464637	0.0009946426428390164	0.00012358709191006832	0.0009167436617748046
18	0.0008530990823331552	0.00037666547888032763	0.0021644140677188656	0.006575236200422599	0.0025181456270809586	0.0010845901825488758
19	0.002263877568498966	0.00047882498709137195	0.0019331642533097877	0.0034475827041044816	0.0008165938275687854	0.001561737750327584
20	5.9312840956619266e-05	0.0	8.252572922529214e-05	0.0005450988497265536	0.0001801106440687623	0.0
21	0.00011360271293578119	0.00010142272295404647	9.665635014781655e-05	0.0	4.4515396032619916e-05	4.0216315466762396e-05
22	4.895693362418704e-05	0.0	0.0	0.0	2.0550926293695845e-05	0.0
23	0.0004832769124698956	0.0011418984334404766	0.005238075762100051	0.1269742564295729	0.007966783758930417	0.0010717029591710337
24	0.0003254043018811414	0.0005247569227841708	7.365337566436659e-05	0.020620572817557786	0.0	0.0022508153949041976
25	0.0008374382263205387	0.001550447358331358	0.0006437412451848806	0.004548489716352263	0.0006909697947219216	0.0036897539659276547
26	0.004015219375386142	0.004212396536323847	0.0025552187907489483	0.006880642101916793	0.001005546236710825	0.008251799173111418
27	0.026588946777344642	0.011083754691183287	0.01256763721021045	0.04172524460509844	0.0	0.024299752796535436
28	0.007296451217951474	0.008454473416166928	0.0006010029282124245	0.01420897742016109	0.003922329499275166	0.020578135197858612
29	0.015178911688053943	0.005037693349328952	0.0077031918001139316	0.022918034436205742	0.005064712949402965	0.010798071924548078
30	0.0026957029497839025	0.001847911464608603	0.002116757017446016	0.0075507844538962145	0.0020281736586377007	0.004220833655693939
31	0.004025154121154814	0.0013070709385568115	0.008018579732721312	0.005717432617272922	0.00242294906013756	0.0012732762873606217
32	0.0007266118380844427	0.00034374895723860186	0.0010679834125449565	0.0015289211691898825	0.000483176593665678	0.0007509311093529185
33	0.00043985667599472024	0.00013648310675971065	0.0006535370471308199	0.0013848316978761004	8.685030977134102e-05	0.0011236966345948007
34	0.0002298617838251615	0.00015006151230165802	0.00020437082543974	0.0011990029356977005	0.0	0.00019197464272587673
35	0.00026215329225846563	3.62915444249045e-05	0.00017984539335462284	0.00042323868634597483	0.00014508710583827414	0.0002186924123000725
36	0.0003601614236838121	0.0008749827562126273	0.00033686132866932655	0.0011510530721520265	0.0	0.002017075975964045
37	0.0018341187082399828	0.0036034447280032353	0.0016847845200090347	0.003062353932364803	0.00045916868075211416	0.007446849887066445
38	0.0035260552121702273	0.004377669696849866	0.0036453393564986132	0.0054637146513208945	0.00025473325360087217	0.008284247264869628
39	0.013194617085864262	0.010346360160457264	0.01362624485595083	0.029145995571226435	0.006826496313008522	0.014174311899628275
40	0.005103495889412604	0.003063923475150334	0.004875018208415195	0.012705996472450118	0.004747851325225006	0.0038794124893752908
41	0.018480057866492417	0.004039482808781696	0.013275809165722685	0.0287088284859571	0.00617613025284108	0.004946846900966094
42	0.006975184465298281	0.0020812031131997354	0.003950866956540347	0.012913595073762428	0.003132392200800587	0.0038153195917442974
43	0.015119368840359682	0.0024184600230018035	0.010459639648953863	0.022546934449197257	0.007277226039417576	0.0043040532094174334
44	0.005057125571698422	0.0023951049360192433	0.004081899036733361	0.009959714147456814	0.0026918287394126963	0.005660064668870076
45	0.005870148594941808	0.011459088944496246	0.0029900673450921943	0.01127595913515638	0.005633768572407785	0.022046510119904696
46	0.0013384680860531462	0.0026237903998282907	0.002015156930272976	0.005336418806936748	0.003494584467723547	0.0044683642460464626
