component_id,rank,mz,weight
Comp_1,1,1,0.014658354904849458
Comp_1,2,27,0.013186023260057021
Comp_1,3,41,0.009066466992982315
Comp_1,4,16,0.008868407916807163
Comp_1,5,17,0.008514077640359146
Comp_1,6,25,0.007633939316162639
Comp_1,7,29,0.0074780958954134375
Comp_1,8,43,0.007397671243061935
Comp_1,9,39,0.0065694441769404074
Comp_1,10,35,0.006366633042008384
Comp_1,11,55,0.006186293724526705
Comp_1,12,13,0.005176120799365547
Comp_1,13,53,0.004415038251688794
Comp_1,14,57,0.004260806206366971
Comp_1,15,37,0.004172833932844452
Comp_1,16,41,0.004094593415362315
Comp_1,17,77,0.004002403089202856
Comp_1,18,24,0.003911782746277514
Comp_1,19,28,0.003684234417340709
Comp_1,20,49,0.0036763374833334358
Comp_2,1,16,0.016934677633414923
Comp_2,2,1,0.013742985400930817
Comp_2,3,25,0.011470454027771514
Comp_2,4,17,0.010728337155920677
Comp_2,5,24,0.009036853125955108
Comp_2,6,27,0.009028900573411698
Comp_2,7,45,0.008170899054662374
Comp_2,8,60,0.007862081868300664
Comp_2,9,39,0.007603790123817067
Comp_2,10,77,0.007140902174365323
Comp_2,11,76,0.006808581892268324
Comp_2,12,19,0.006704749097504093
Comp_2,13,63,0.0065634619799505274
Comp_2,14,51,0.006434291803202435
Comp_2,15,13,0.006420762192439565
Comp_2,16,28,0.006339467851269719
Comp_2,17,26,0.00603203487231398
Comp_2,18,12,0.005747610464888466
Comp_2,19,53,0.005144492799537145
Comp_2,20,74,0.004939417685490303
Comp_3,1,25,0.00643151928774378
Comp_3,2,1,0.005902953190598728
Comp_3,3,49,0.005416615916731227
Comp_3,4,39,0.004879933839733528
Comp_3,5,41,0.004864985898272408
Comp_3,6,27,0.0047751898042372246
Comp_3,7,41,0.004749080847200703
Comp_3,8,77,0.004441562896132626
Comp_3,9,55,0.004214458471512468
Comp_3,10,45,0.00416806334604369
Comp_3,11,91,0.0040598630251114706
Comp_3,12,53,0.004020282139774131
Comp_3,13,115,0.0038217786989919724
Comp_3,14,73,0.0037893885684977253
Comp_3,15,43,0.0037887618338457297
Comp_3,16,51,0.003761671927981435
Comp_3,17,65,0.0036997319706054683
Comp_3,18,63,0.0033903532153241626
Comp_3,19,65,0.0033410281357967838
Comp_3,20,128,0.003278015521883845
Comp_4,1,23,0.04403842893932844
Comp_4,2,1,0.017121541590054096
Comp_4,3,35,0.016800587334776233
Comp_4,4,27,0.014840524980230517
Comp_4,5,16,0.013837903121475311
Comp_4,6,17,0.012431504335401064
Comp_4,7,41,0.01131336852603929
Comp_4,8,80,0.009776484152506353
Comp_4,9,39,0.009502340938697838
Comp_4,10,43,0.009247693375423627
Comp_4,11,37,0.009008757832603027
Comp_4,12,29,0.008815981982766662
Comp_4,13,57,0.00797679018499963
Comp_4,14,55,0.007502413068753082
Comp_4,15,24,0.007019591917683911
Comp_4,16,64,0.006954745549194813
Comp_4,17,26,0.006817890365222799
Comp_4,18,59,0.006347968639641244
Comp_4,19,13,0.0055713569227135344
Comp_4,20,25,0.00534159621706819
Comp_5,1,35,0.017474350640317996
Comp_5,2,1,0.014656804792623998
Comp_5,3,27,0.012294344940852013
Comp_5,4,41,0.009921256192855844
Comp_5,5,37,0.009413205464198764
Comp_5,6,43,0.008715065455262919
Comp_5,7,17,0.008271902405207508
Comp_5,8,29,0.008154687060327041
Comp_5,9,16,0.007464525794217027
Comp_5,10,57,0.007090542492526241
Comp_5,11,39,0.007019644934799559
Comp_5,12,55,0.006926371818136861
Comp_5,13,25,0.0056873696629529714
Comp_5,14,13,0.004876697161720638
Comp_5,15,53,0.004041658739339119
Comp_5,16,77,0.0040031489135536925
Comp_5,17,42,0.004002529461630223
Comp_5,18,28,0.00398928816387323
Comp_5,19,69,0.003548555256803147
Comp_5,20,299,0.0034455913121758937
