component_id,rank,mz,weight
Comp_1,1,16,0.0556480533361978
Comp_1,2,1,0.04550396053571488
Comp_1,3,25,0.03791191520556116
Comp_1,4,17,0.03535032314442918
Comp_1,5,24,0.02971910664023098
Comp_1,6,60,0.025752748110107197
Comp_1,7,77,0.023419651864075818
Comp_1,8,76,0.022260343256642875
Comp_1,9,19,0.021932146950481995
Comp_1,10,13,0.02119235069302296
Comp_1,11,26,0.019885598889235048
Comp_1,12,12,0.018915567424765384
Comp_1,13,49,0.016291321268603217
Comp_1,14,61,0.015164388734375657
Comp_1,15,48,0.015124755434666287
Comp_1,16,36,0.012839188091437442
Comp_1,17,137,0.01156892888190013
Comp_1,18,73,0.010265890996827752
Comp_1,19,41,0.00964443232816352
Comp_1,20,72,0.009479006681486631
Comp_2,1,1,0.02338516616587084
Comp_2,2,35,0.0129844215200794
Comp_2,3,17,0.012412561268750328
Comp_2,4,25,0.01174522428986503
Comp_2,5,16,0.011229393948717074
Comp_2,6,37,0.007953232004346816
Comp_2,7,13,0.007852405749640858
Comp_2,8,41,0.007782809900572178
Comp_2,9,49,0.006504275265944159
Comp_2,10,59,0.005863046879137716
Comp_2,11,43,0.005807752145069139
Comp_2,12,45,0.005619842165239401
Comp_2,13,119,0.005332901452064576
Comp_2,14,281,0.005179996500991737
Comp_2,15,24,0.00502282534848756
Comp_2,16,179,0.004760469681067489
Comp_2,17,467,0.004631202178620513
Comp_2,18,569,0.004610849678876376
Comp_2,19,323,0.004555053315414274
Comp_2,20,365,0.004526285142667655
