component_id,rank,mz,weight
Comp_1,1,27,0.026588946777344642
Comp_1,2,41,0.018480057866492417
Comp_1,3,29,0.015178911688053943
Comp_1,4,43,0.015119368840359682
Comp_1,5,39,0.013194617085864262
Comp_1,6,55,0.012595720514711726
Comp_1,7,57,0.008891065249915692
Comp_1,8,53,0.008747713153151999
Comp_1,9,77,0.0079624913041666
Comp_1,10,28,0.007296451217951474
Comp_1,11,42,0.006975184465298281
Comp_1,12,51,0.00674603437102588
Comp_1,13,69,0.005988460395369758
Comp_1,14,45,0.005870148594941808
Comp_1,15,67,0.005777116403827635
Comp_1,16,61,0.005769961843770813
Comp_1,17,65,0.005726676754565184
Comp_1,18,91,0.005381916302977758
Comp_1,19,163,0.005214802419589831
Comp_1,20,40,0.005103495889412604
Comp_2,1,45,0.011459088944496246
Comp_2,2,27,0.011083754691183287
Comp_2,3,39,0.010346360160457264
Comp_2,4,63,0.009443750382674313
Comp_2,5,51,0.009205591306523623
Comp_2,6,28,0.008454473416166928
Comp_2,7,74,0.007050602639042359
Comp_2,8,53,0.006973883949855288
Comp_2,9,50,0.006937752269672451
Comp_2,10,62,0.0067172677560499855
Comp_2,11,75,0.00671256868900688
Comp_2,12,77,0.006423738576033264
Comp_2,13,87,0.006176335189969084
Comp_2,14,86,0.005919809641462535
Comp_2,15,98,0.0056467022586896
Comp_2,16,29,0.005037693349328952
Comp_2,17,89,0.004835056418540389
Comp_2,18,65,0.004657678742905742
Comp_2,19,52,0.00443538182993053
Comp_2,20,110,0.00443258353369491
Comp_3,1,39,0.01362624485595083
Comp_3,2,77,0.013288004354123275
Comp_3,3,41,0.013275809165722685
Comp_3,4,91,0.012661665881454877
Comp_3,5,27,0.01256763721021045
Comp_3,6,55,0.012304595624380342
Comp_3,7,115,0.011955946975223482
Comp_3,8,53,0.01192416853223476
Comp_3,9,65,0.011324044436686087
Comp_3,10,51,0.011240086618993074
Comp_3,11,43,0.010459639648953863
Comp_3,12,128,0.010385724448751748
Comp_3,13,63,0.010181523413080214
Comp_3,14,79,0.00874697647754749
Comp_3,15,31,0.008018579732721312
Comp_3,16,29,0.0077031918001139316
Comp_3,17,152,0.007691978373596018
Comp_3,18,69,0.0075544257217998794
Comp_3,19,78,0.007437161977708339
Comp_3,20,67,0.007350866461729276
Comp_4,1,23,0.1269742564295729
Comp_4,2,27,0.04172524460509844
Comp_4,3,39,0.029145995571226435
Comp_4,4,41,0.0287088284859571
Comp_4,5,29,0.022918034436205742
Comp_4,6,43,0.022546934449197257
Comp_4,7,24,0.020620572817557786
Comp_4,8,55,0.01921430287434706
Comp_4,9,57,0.017936656146640962
Comp_4,10,28,0.01420897742016109
Comp_4,11,53,0.014198631559599405
Comp_4,12,42,0.012913595073762428
Comp_4,13,77,0.012740589591987215
Comp_4,14,40,0.012705996472450118
Comp_4,15,45,0.01127595913515638
Comp_4,16,51,0.010680806907382203
Comp_4,17,83,0.010644876556415906
Comp_4,18,44,0.009959714147456814
Comp_4,19,67,0.0096596518562854
Comp_4,20,56,0.009644150502616348
Comp_5,1,57,0.011815384127015232
Comp_5,2,23,0.007966783758930417
Comp_5,3,73,0.007620675000070405
Comp_5,4,43,0.007277226039417576
Comp_5,5,39,0.006826496313008522
Comp_5,6,83,0.006804368601691039
Comp_5,7,41,0.00617613025284108
Comp_5,8,45,0.005633768572407785
Comp_5,9,55,0.005121398755403212
Comp_5,10,29,0.005064712949402965
Comp_5,11,105,0.005033507357180483
Comp_5,12,40,0.004747851325225006
Comp_5,13,283,0.0047194690360314664
Comp_5,14,75,0.004543035432971325
Comp_5,15,427,0.004456959973864865
Comp_5,16,159,0.004379615230249801
Comp_5,17,405,0.004362507822021617
Comp_5,18,59,0.00422380191086653
Comp_5,19,58,0.004188943336034413
Comp_5,20,77,0.004173657876493704
Comp_6,1,27,0.024299752796535436
Comp_6,2,45,0.022046510119904696
Comp_6,3,28,0.020578135197858612
Comp_6,4,39,0.014174311899628275
Comp_6,5,63,0.013379458691846072
Comp_6,6,74,0.012207606960726028
Comp_6,7,51,0.01160917098455405
Comp_6,8,50,0.011426028694297357
Comp_6,9,62,0.011055084770554658
Comp_6,10,29,0.010798071924548078
Comp_6,11,86,0.010672065417084271
Comp_6,12,75,0.010473978563453529
Comp_6,13,98,0.010458602642454557
Comp_6,14,53,0.010172948180969633
Comp_6,15,1,0.009847939958131232
Comp_6,16,87,0.00954872453840422
Comp_6,17,110,0.008821825528232028
Comp_6,18,38,0.008284247264869628
Comp_6,19,122,0.008272534389622046
Comp_6,20,26,0.008251799173111418
