Mass (u)	Comp_1	Comp_2	Comp_3
0	0.023297886220848295	0.006906850250790449	0.003509899468423445
1	1.3160182214780307	0.6607016693054693	0.17974841855599605
2	0.015951871705123046	0.007199084488374201	0.0020409519176633755
3	0.0031270999758632777	0.0018050674965476884	0.00034071379594609904
4	0.0009346449932566905	0.00011389981971786494	0.0012930166654946508
5	0.00313190291590097	0.0014201939066947977	0.0005335817527510368
6	0.0033414352350463563	0.000843694342657659	3.3527496155175423e-29
7	0.009872885433511768	0.002679209625078152	1.6341073576606804e-08
8	0.0024609905930893287	0.001363652522179854	3.597284018654197e-22
9	0.0010444511503568225	7.775215234406989e-05	0.0006796496903750416
10	0.0010382127113407213	0.0007041617592353611	9.578291436347698e-06
11	0.0029961527540606175	0.0016151011362165934	8.399769662004225e-05
12	0.5474568045878083	0.10910967414169105	0.05166044217103936
13	0.613128414824191	0.21449720461920727	0.07020117854480352
14	0.1580005351714612	0.09839470529848424	0.01855552170071636
15	0.031021908379409446	0.03901187757065085	0.01261334789784134
16	1.6106070182378285	0.31605574485920945	0.039707396481441344
17	1.0227435400992129	0.36342788550384214	0.04690526521782508
18	0.07614589701495897	0.016573005582996393	0.0018666687956538901
19	0.6349056824441291	0.05135447244954968	1.6846001960847717e-06
20	0.006061550367887557	0.0015722591018805386	0.0007416244093176734
21	0.0038521047689005655	0.0010455712045348764	0.0012301907939334538
22	0.005829332393708	0.001289655176821772	0.00115685592104609
23	0.006740536743815043	0.0018301691728908845	0.0008455017863763239
24	0.8602901037004634	0.10930752870786642	0.09104882637225539
25	1.0971248340801905	0.27572165103610863	0.20836028905981
26	0.5756245348449794	0.08262021172592574	0.04472111603604605
27	0.07343758452265237	0.0634980516199818	0.031800125815927095
28	0.19487221166067037	7.967711357520185e-25	3.9586954527868466e-28
29	0.1576059405006192	0.016451178290199972	0.011110552610781439
30	0.07034131417983534	1.2157704116840944e-09	6.298860270751929e-13
31	0.048210785413690525	0.01406847459997857	0.005314150954310346
32	0.2057127861341447	0.05958036737034686	1.0155487285835098e-06
33	0.07792683030080817	0.04607794875734803	9.222801783923373e-12
34	0.018854282579710217	0.010241388581848084	8.350759804728854e-12
35	0.11151243151777805	0.4203217279323176	5.545325034534756e-08
36	0.37161483926709765	0.06740682077987058	0.06356479797034853
37	0.23584805443891388	0.2447753359923538	0.021315526555718424
38	0.15472715890636352	0.0785773945743728	0.05480833368453683
39	0.08563557077645106	0.05081513584517667	0.05494087776532136
40	0.23925202959161723	0.07766822277750596	0.0479551084339637
41	0.2788339621299378	0.17907192240424874	0.16954169646946826
42	0.1686389853889093	0.07478564847906526	0.03022483866799074
43	0.11809708315365292	0.162063512027502	0.06029613975214817
44	0.06902885983806778	0.03795950400726635	0.012790340900484134
45	0.14003040022434407	0.12047267842472624	0.147527761642107
46	0.029001739979426913	0.021997921925096916	0.01584301457193347
47	0.04595525614459687	0.019218555240567033	0.0073150885176919
48	0.437824380100991	0.055506190217151495	0.0701569868157388
49	0.47143608081721877	0.12696826443380255	0.1862323941005962
50	0.19080046944644413	0.04169361432722735	0.05164390443665561
51	0.08378410847821958	0.07411895774540397	0.061234849583674686
52	0.11425024052709515	0.035967159513632746	0.034974371860806014
53	0.10032402102901913	0.07608420127512372	0.0808907546092608
54	0.035778884925015825	0.026409196012027143	0.023420086661687125
55	0.036708998549367385	0.043842550700611944	0.06116540989038077
56	0.038055021989243154	0.01612104815233221	0.007653274177777392
57	0.04070548102536751	0.0358027754503118	0.021238223901604278
58	0.030903169940122505	0.06027475988393318	0.01609550676034168
59	0.1299097795635306	0.1782188474549648	0.023889231631079345
60	0.7458847875012616	9.701688933455916e-11	0.0567505995447681
61	0.43901694274002107	0.0426118714456652	0.06864282576910287
62	0.2046885124555934	0.045334863624610026	0.07144890379654777
63	0.1731211813234501	0.043808633483211165	0.053522889465051016
64	0.09424065578232524	0.06619373787653504	0.014139662821303082
65	0.12533268639963402	0.08469679323858735	0.11837675846308475
66	0.0624841497454486	0.03748293348268894	0.0385796116494441
67	0.05386040787895163	0.08788085626830612	0.0855463653195899
68	0.0686174614283073	0.02103975989493013	0.023204448350680158
69	0.09744928583530245	0.06613273292963598	0.09284476211957844
70	0.03533849405236249	0.01928136726817782	0.020361067345014392
71	0.030539384246873556	0.07897948178941654	0.050194885373024564
72	0.2744213750506178	0.023923683842831125	0.05820485610589014
73	0.29711084550225103	0.06392686215316831	0.1312576457908497
74	0.12082186895339746	0.024518735933542774	0.0448802212839775
75	0.07703885050003695	0.0603194227839769	0.045649115327012414
76	0.6440839168546983	3.1412750451258956e-46	1.3035554897870098e-35
77	0.6780378778591323	0.053407854810519656	0.04978739291982061
78	0.2038224211129589	0.01618060926461424	0.013768352700603108
79	0.24588200707462102	0.039850427604511025	0.03068364849156288
80	0.06288729001239557	0.06586407045935039	6.249821956596263e-10
81	0.06569357235190236	0.051528594572964805	0.017349111895619284
82	0.030429124167193	0.023771027795901626	0.019563957759337267
83	0.030199463115582234	0.06119737844616297	0.04772802143660412
84	0.17229017395418425	0.018984953485429945	0.04621945587091299
85	0.14909502541536104	0.0427115393485426	0.06643298540317497
86	0.10872652711165345	0.031604322491145614	0.05751310152129214
87	0.06841350613151533	0.04462617547029628	0.04914053319081511
88	0.048240349799886416	0.019347010375790393	0.0289324924558499
89	0.0705691790355615	0.03884180172793275	0.0619907062846435
90	0.03281287294462998	0.018908488170177408	0.02468461763789147
91	0.03034195261010527	0.03766031537677462	0.04894631577452835
92	0.03500292574333271	0.026733062918292902	0.019099021931022975
93	0.04090598723994727	0.04378182417254982	0.048614595170504656
94	0.020747026094824608	0.02772995511439706	0.012252828523606148
95	0.030315158990966862	0.06446192720420627	0.036036172434664185
96	0.17030126488737163	0.0217568164347335	0.02919398369839701
97	0.19588475525818883	0.053946119146290446	0.06434330911772797
98	0.0838988653834846	0.015016572141501443	0.031124729254082516
99	0.05349062048063116	0.03255355148008639	0.038550969846847916
100	0.04888997459278146	0.013822116119852115	0.017785729710611237
101	0.08467022098028354	0.03493048028748706	0.042481851382255804
102	0.04200148744350235	0.039449452732163104	0.014670684428839174
103	0.08858750983050567	0.07914644946286581	0.051534440502245704
104	0.04179428610121575	0.015182194950677498	0.019328277083080228
105	0.05515770986300513	0.0316957926908864	0.03137393594572079
106	0.01987769331538664	0.016394428344241496	0.021481316819485938
107	0.02520207286903607	0.02544630421351711	0.03201931654618041
108	0.10563015963214722	0.011654413623248169	0.03456219212332081
109	0.10037803385241288	0.01864232929576414	0.04785915300358971
110	0.07337640960551758	0.01567213937455424	0.03799073005262779
111	0.04698222744400424	0.027426760437269274	0.042383242906088955
112	0.036094673071077325	0.017030812904047638	0.020801132902014845
113	0.03978221999957256	0.040288473613510886	0.03534284569568952
114	0.01951648403422842	0.015752107573177826	0.01833198308582947
115	0.021168494398519554	0.03130571604531693	0.029489431514702378
116	0.0218191095416802	0.017488011053486772	0.019686947822411118
117	0.052719475116623345	0.0298153522960491	0.03472292120348068
118	0.04070408663210584	0.03060676120715105	0.01338228223066732
119	0.16973927355250534	0.14628570984228437	0.0586211927043307
120	0.15787045433566427	0.0096593532352741	0.021161687750219482
121	0.1691029994189436	0.0511990601406512	0.05553086573397689
122	0.07409319636199212	0.017694100734605218	0.0211381082063454
123	0.05763286912811179	0.026273663167152725	0.028445278243156454
124	0.025916262463564693	0.015541637793148218	0.013887935557814146
125	0.032765364481970406	0.02116662537729724	0.027899603327981318
126	0.016987045315165022	0.016029365940648712	0.015958919440107577
127	0.07101053067342974	0.06607124804686847	0.04279512319306127
128	0.018334222361804594	0.014795656042506131	0.01714001761365323
129	0.028054105974224884	0.03419873697827116	0.038774285832437985
130	0.015559101504760151	0.018152568037177307	0.022785638146136784
131	0.022873859120704807	0.03759299947738837	0.03495844828093004
132	0.05343503495363558	0.015430266656367105	0.022847249716260173
133	0.06356509905515487	0.03078560330211144	0.03077831069230654
134	0.05072042881142717	0.034785636798996725	0.037322078315779356
135	0.06403836628353872	0.03972949680135157	0.027003585418216795
136	0.22827511271182022	1.6807118754422836e-06	0.021086954113178624
137	0.3348570809526024	0.0601975180842543	0.047353305234932114
138	0.13018042894479134	0.005820948829205951	0.01481807793715402
139	0.1365684123401523	0.03993216789740667	0.014208379842374474
140	0.05194323646873893	0.018170512956626143	0.00950208999500545
141	0.046277348593362	0.028255839242098336	0.021745774753803786
142	0.0204890959185794	0.015597989039498845	0.016107172001951258
143	0.028530657057388248	0.04226758795697139	0.04220213898902762
144	0.05530565417289879	0.013022012311861682	0.020111660067236373
145	0.08233082405016934	0.051453798112872436	0.048646511366242505
146	0.03965880056476358	0.01742728247898563	0.020425031131906725
147	0.06332128766251349	0.03834475263747679	0.038323254119263926
148	0.020167663873453295	0.01605794479958822	0.016037385789903196
149	0.02200444044789585	0.03703160882083299	0.03722749914976819
150	0.01368481773640208	0.018058654087350773	0.01589633441033852
151	0.015876993916273573	0.02572403360132999	0.028544319857154048
152	0.012361102513670728	0.02089844428623188	0.0161203618863521
153	0.01793672519437387	0.02549295053522875	0.027103553822563752
154	0.01408104810215731	0.02117175936627197	0.013817058696492803
155	0.01736344861448676	0.05912075453433429	0.026042849427433064
156	0.03156783700588559	0.01824128724165546	0.013577027974278984
157	0.038603236883054566	0.04374691368324252	0.01981115442531937
158	0.034241753807969226	0.017052164246037463	0.02419880849762274
159	0.026397072656206992	0.02468500528935111	0.027422089246335067
160	0.023434661380100565	0.018770764778211917	0.01898466636676087
161	0.03541409799722016	0.06182250863951696	0.028957090401330755
162	0.02964356954689686	0.030301838443949628	0.018363637419721596
163	0.0667636868765375	0.05823424209427872	0.04740799512907621
164	0.025979319525007937	0.018481067947275925	0.014261727863812662
165	0.02978116664387108	0.03180353276494111	0.02950144031527209
166	0.016694334594671133	0.014509541744904543	0.015544534284533361
167	0.01788919743092029	0.025285407114325094	0.026505520925149743
168	0.024957019676302778	0.013697692300185934	0.014054287181336854
169	0.04859473106580559	0.027703717026468684	0.03469747233338424
