Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5
0	0.022271883415414386	0.006334870458651961	0.004347072005128279	0.013226747838031502	8.230116379058308e-12
1	1.3041045088688503	0.6549468548650818	0.20980962945845896	0.17522431043204756	0.0067827083460116075
2	0.014735394395070668	0.006735015773300338	0.002295666929980507	0.007824318443305875	0.007473880308089162
3	0.0021074550971858855	0.001208664385840605	0.0010317385245049136	0.012533788123952025	7.524154269961333e-214
4	2.815395502987218e-33	5.8237019875277815e-58	0.0008240120796369176	0.013046317350180123	1.6141747899678168e-26
5	0.002134980772086404	0.0008255474291725212	0.0012333557503042113	0.01225911504727288	3.5807935517521204e-228
6	0.0028292909753699002	0.0008159579440730948	4.513039973432928e-27	2.6287218416194998e-281	0.0063439265148691375
7	0.009552147667227562	0.002664078082383928	3.9507607796229465e-12	3.7814808268956316e-05	0.004189021388168306
8	7.435744307141065e-11	0.0003547340677816224	1.1695106692382887e-76	0.011149707971558145	0.020044378595404956
9	0.0010461610132771859	3.33197607516545e-05	0.0009964306267517206	3.0389140180198407e-208	0.0
10	0.0010396576647644232	0.0006366798827914249	0.0004368353896205379	2.789825592999371e-194	0.0
11	0.0022413166011746037	0.0013570693348699393	0.00040499307238051676	5.400633523022025e-262	0.00926594165818164
12	0.5407280188742343	0.10844075045912502	0.05757169206536852	0.011819753708704276	0.08763359442011225
13	0.608769273399085	0.2136769371524446	0.08044480584360557	0.03337927334170211	0.03812975681253663
14	0.15520278047751562	0.09690998542077049	0.023313992097627145	0.03819758331978945	0.00014938979990941224
15	0.029956054035609816	0.038345216219772014	0.013630267886056464	0.011058865157557371	0.0024621433959180414
16	1.6008855024543283	0.31785839031274055	0.06484379111929081	0.03106712791095511	0.1398586820956325
17	1.0140566314354666	0.36053298535779826	0.07091941041041744	0.12647579220194108	0.010575869016491633
18	0.07633816460113658	0.016798986740023194	0.0036236239827042564	4.439859796639131e-05	4.632618777111995e-05
19	0.6242440811008261	0.05307238126488294	4.493143318752952e-09	0.042693645613047275	0.10925476976121071
20	0.006076357676685455	0.0015605155451316542	0.0010502634443941847	6.7044607882807925e-22	1.323843253367797e-23
21	0.0029032092513078113	0.0008037257515031285	0.0009674858212432055	2.412202711976495e-22	0.011676177506622278
22	0.005643855327249835	0.001217199003830311	0.0014115887906998269	5.686243148713878e-49	0.002428823116509045
23	0.005705782067362163	0.0013344589881956288	0.001108690111562969	0.010266731558063872	0.002570346881138234
24	0.8517151229952711	0.10908188446872988	0.09910261897848686	0.002173270919280644	0.1303093983268172
25	1.0953247718543404	0.27544106389820144	0.2226019584504628	0.021580642952414807	0.033590593006
26	0.5472839880687406	0.07112034273165115	0.055089463143317974	0.2627356711397237	0.10196003171563313
27	0.07034005870280897	0.06156557262244927	0.033814670711859895	0.03551618131239238	0.0038399377031942644
28	0.1946561518999154	8.365540759470432e-20	6.333353036053279e-28	0.00453243275044554	0.005775603597584994
29	0.15702908575322488	0.01646899462561838	0.013656762312669017	0.01099553521566856	0.00124785084646865
30	0.06993075283769026	0.0025564809700106047	3.589415373956112e-09	0.006470396812578707	8.97197643888652e-06
31	0.04768216634119893	0.013873864871351123	0.006214323476046358	0.006582596182555935	0.0013381261619196331
32	0.20319148039908821	0.06060369281178822	1.3585697300556522e-07	0.03168266045397911	0.00576686801153304
33	0.07160477766515351	0.04434936696962921	1.1731519101102408e-16	0.05948698511174826	0.019996846785775
34	0.016660484110678497	0.009562444743469635	2.8824075963398063e-18	0.016042519334195895	0.011292204055772035
35	0.09244602037672249	0.41603855535287415	7.274443932329556e-09	0.11469116949866559	0.11720937777723889
36	0.3691250025725569	0.0667751236027055	0.06793360143243853	0.016708652426611303	0.025281939679078734
37	0.22907919506308422	0.24103160748976954	0.031716605549615154	0.04987938762860374	0.0379656185339113
38	0.15041901294373186	0.07571699799078276	0.05835318430196787	0.05654874671826529	1.665937919167181e-05
39	0.08304031812719405	0.048667779592762896	0.05663578307912429	0.033514192890323556	4.360644240094056e-05
40	0.23771989146037628	0.07700129601086635	0.05151180641657473	0.01655767019095305	0.009143827990658574
41	0.27385218501346437	0.17429053755261034	0.17388592892774002	0.06301463783876028	0.0038392598847410055
42	0.15641963560516717	0.06919826959599688	0.03423642371081814	0.11884887848905049	0.03508948914153857
43	0.11227345039956951	0.15895009508734845	0.06329560892777703	0.04227253470679736	0.030505884929414445
44	0.06786212275947309	0.03741263929731743	0.014249706425766303	0.011653111538855886	0.004437933032355288
45	0.13557816423438443	0.1160620242773301	0.14885125953071343	0.04834364312234599	0.008160561162462382
46	0.028058058879427396	0.021586812308686473	0.016004277537030463	2.5409573383612116e-08	0.0121040847938256
47	0.04473098953959025	0.01861608096367132	0.008347637369819584	0.015013241752063273	0.0012504695290620667
48	0.4344990597909416	0.05527699327848727	0.07378903515278314	0.003487408496127259	0.051081866920110075
49	0.47018248606079627	0.12463720966991947	0.19088870226879365	0.02361015413044768	0.004939581839416243
50	0.18248159506993875	0.0376700209013299	0.05447762312199749	0.07676434023660257	0.030487586041676187
51	0.08112165808781675	0.07190220920533029	0.06286937667706474	0.030814879758206782	0.00317189006635226
52	0.11098042273207574	0.0343729679535687	0.036388727316086236	0.025298345823556393	0.01786534576482106
53	0.09720463820785993	0.07364910873200585	0.08177960295809664	0.02259147107710688	0.0173766289160306
54	0.034787804895841004	0.025549294640327208	0.024167567206120757	0.01251367817946471	0.00030104619528781675
55	0.0328658567549637	0.041061090692521146	0.06148995975294379	0.03433016993306174	0.012783705649141412
56	0.03632717623768815	0.015433015989216255	0.008197601430969963	0.012856703977213281	0.009305768847200876
57	0.03953518903244752	0.03520460055275671	0.021623788477409398	0.004869812462803392	0.010228645758897086
58	0.029130074614273818	0.05908003141014549	0.017758561915183078	0.021514331674222387	0.0003502978044231014
