Mass (u)	Comp_1	Comp_2
0	0.0	0.0
1	0.09160825938654787	0.10189270959394323
2	0.02839107279312023	0.02003648328519288
3	0.01643528083330898	0.008479609276307032
4	0.00019772129785113545	0.0006891082611685577
5	0.0	0.0
6	0.0006388703565876415	2.4865688598617377e-31
7	0.0025567409038552633	0.0036556249270936264
8	0.0	0.0
9	7.969981810897887e-05	1.0648696347535603e-11
10	0.0020945196285049096	0.0003408884019723094
11	0.004550373782444356	1.3116706634528166e-27
12	0.03358223796106577	0.04744394859776978
13	0.044913628536941926	0.04286557360567309
14	0.06815334213295615	0.054892852843040435
15	0.1229784185669324	0.06375245379757566
16	0.016954262177969776	0.01449171903787058
17	0.01019428009389872	0.011283968063628011
18	0.034349844636948124	0.00841222237801822
19	0.06428435341566782	0.005297616721079608
20	0.002163101784556828	2.0672016768096732e-66
21	0.0030458435840298335	0.0019778174593567724
22	0.0011828875569875703	1.3156271133401855e-79
23	0.09093934571005825	0.0371709154112942
24	0.016250808872364162	0.01564402540984594
25	0.024223315940452645	0.03863552122437579
26	0.10732535542373058	0.09503104194046148
27	0.6997298348597951	0.19287603321600774
28	0.18368895057144388	0.1985039850200557
29	0.40857249191021894	0.07629212465587887
30	0.07744517542623264	0.03969896118338716
31	0.1313621043024368	0.01950917860797544
32	0.022545222346630898	0.006702230035392105
33	0.013837954675930497	0.0034741042666091015
34	0.006664894379277126	0.0029687478673776284
35	0.00741811553754763	1.0002296178800849e-05
36	0.009758678489312323	0.02200851598368654
37	0.04953383874185882	0.08794073437364908
38	0.09773267585680251	0.10112152329806431
39	0.3808200245360242	0.2146031630506672
40	0.14999548136026075	0.059078614463452216
41	0.5131538187836702	0.03290334515895665
42	0.19131688850083442	0.02825032850517139
43	0.42299465129789887	3.524870480445938e-07
44	0.14347555415970895	0.045974141656851
45	0.15530053157746815	0.2765238845951321
46	0.044152013360894436	0.0633594712337183
47	0.043419042856192455	0.06371394003351381
48	0.023359744697181925	0.013880837743056899
49	0.029420739468772324	0.05098067497928016
50	0.1129808530894103	0.16379630573901044
51	0.20137955284193437	0.20768595553779864
52	0.13049286002195082	0.09507893533446274
53	0.25854737625450497	0.14675168191825402
54	0.12215573780078644	0.0438200409778882
55	0.3647706794019252	0.00013971746807159172
56	0.12161488356420698	0.009631644648862868
57	0.25227282373862264	1.0405130556602954e-29
58	0.08953538793421106	3.1200648327182094e-05
59	0.08464247687683453	0.00087622950534905
60	0.038043748469272096	0.019293066496798465
61	0.1624384560970869	0.07306635774864195
62	0.08437885252946216	0.16244831687084277
63	0.15291281382564087	0.22251069018152075
64	0.07520414871690985	0.08504691045217284
65	0.1823018050409408	0.09578504747404137
66	0.10351697664660194	0.06680092419004356
67	0.17219344526212033	0.04063993233037773
68	0.08555589205334721	0.021098285531539317
69	0.18010565644336204	0.016031550384739145
70	0.08436287676422304	0.017725880656714377
71	0.12033206567299365	0.029897378402147914
72	0.047876202388600506	0.06094849998760697
73	0.10925307709860659	0.04345614404654723
74	0.08052569129604803	0.17296620607681268
75	0.09668970513566691	0.1621291283874637
76	0.06848535269478878	0.09234055215686432
77	0.24600922639499412	0.13260120303186923
78	0.12251244879300553	0.06519719924405151
79	0.15943833772545896	0.05193445439506084
80	0.07116409890651294	0.02349103667850422
81	0.1250752511732675	0.012461857371378546
82	0.06210158514420317	0.010078719712824879
83	0.09998274233182998	2.3031954796160023e-09
84	0.046158561652669156	0.020886488611020586
85	0.07460298689316114	0.06936463968944728
86	0.06258907136199413	0.146396868312299
87	0.12677717266605548	0.14208659239720373
88	0.05612742375119433	0.08723267904604963
89	0.09652845121678535	0.112398034266712
90	0.056750417393409615	0.06158315575604136
91	0.17957720302306268	0.062175861991336526
92	0.0728467254436181	0.0292978866924103
93	0.07640540509867394	0.0231578926163329
94	0.05030998659861073	0.012631304870748318
95	0.08713385732422725	0.008584745657814866
96	0.039606529116289924	0.012053205929550002
97	0.056987104064532654	0.037554025243837066
98	0.05041923732510657	0.14212480574384462
99	0.062363528928276596	0.10765270253952851
100	0.03680389906562556	0.05495462901463791
101	0.06955753268998395	0.0798761295870819
102	0.07684038792573451	0.06848494291793526
103	0.11691382933597505	0.04132957173950379
104	0.09614987167487854	0.024405269494768785
105	0.1332443108890947	0.051997399630932827
106	0.051881901117778954	0.023403418723066925
107	0.06654508670478752	0.021145780168521366
108	0.039232168576708644	0.01732872009600705
109	0.05248890623164351	0.05648306923289958
110	0.0387261292262777	0.11252743688188088
111	0.05107242759627077	0.09762343066590538
112	0.035919177123127984	0.04311535198805388
113	0.06319834206255	0.06713914571873619
114	0.04297491814387304	0.052331170063669726
115	0.14810986377223676	0.0929885472582369
116	0.0779081852870982	0.04372751351914093
117	0.0823196396238131	0.025390672507723876
118	0.058474391145295956	0.017308438760771993
119	0.06776225440665316	0.011654015689548039
120	0.04450638043193336	0.02404115740393058
121	0.14383675572562016	0.026255280517415994
122	0.03616472691034344	0.10547874354903841
123	0.04674116716082886	0.07060061182717259
124	0.026608034697164044	0.03638881407221547
125	0.03864901100607081	0.051655886805353796
126	0.0516536794732605	0.076271349623347
127	0.08257977136021663	0.06615552154721077
128	0.11563235109137852	0.06566526107961075
129	0.09334233334881449	0.031744695345243795
130	0.05593484033341893	0.017977045071701257
131	0.06875609410361018	0.013750682026647814
132	0.03758112079570114	0.03147035370467758
133	0.0550727906610168	0.04868795625657978
134	0.03544255393954949	0.07989228133203316
135	0.05046635645613391	0.05753552076763307
136	0.033708809253109186	0.024902977408217484
137	0.04751749811531785	0.05431396197404757
138	0.03102083079505586	0.045608026470300364
139	0.07946581686185308	0.09143191016180055
140	0.03719919156590982	0.04335416387471896
141	0.08039866169495208	0.03905894305822541
142	0.049801180691513396	0.02001121991518053
143	0.04856517055387356	0.013527587279859235
144	0.03657220481727472	0.016738442816984753
145	0.05965468626347929	0.018379507537256076
146	0.08213553143578627	0.056822774690970176
147	0.08482879591218763	0.03214255936263928
148	0.03223382434197824	0.027381441143568774
149	0.04877694353003997	0.04997012063046171
150	0.04327894687796267	0.09242905477630566
151	0.05704901139485873	0.08515279153777487
152	0.0853358745558357	0.0885796604499935
153	0.07374509033995624	0.04786792559392445
154	0.047517948496968346	0.024985559053024308
155	0.06098891116812207	0.01674255982456991
156	0.034470338564911454	0.017489410248009957
157	0.04153105544660194	0.024424037452899512
158	0.02878944673024763	0.052344569983543664
159	0.04004573473138151	0.03427168043450293
160	0.03007153134090127	0.016157803011024294
161	0.047061763099135866	0.048035414678661674
162	0.037146787918958125	0.05945280566494345
163	0.14912567528004528	0.07240564048104355
164	0.052485586848682486	0.0626502006611408
165	0.09144438136866527	0.07827123303903495
166	0.04758451904741687	0.0364718320523874
167	0.046346983508209795	0.024347021356801467
168	0.032729971032791086	0.02468388900352763
169	0.03759488207190143	0.02053147064939962
170	0.026282508224825897	0.04708737028108736
171	0.04928087560530923	0.023117917925092303
172	0.03411718595747289	0.01275204687266974
173	0.041809579971359034	0.026618508923812303
174	0.02874167124197672	0.07454489157966622
175	0.04603200448531816	0.05600965148148901
176	0.04820195917893232	0.07969750682035534
177	0.047724765233199955	0.04868378791266207
178	0.061068508016950636	0.04661740707406884
179	0.05302556628910934	0.026940715678815067
180	0.03188330093209596	0.02142682488213594
181	0.07767459949774326	0.020923919876488214
182	0.029616171095437425	0.03643448371054751
183	0.04733974210105533	0.02289403909225341
184	0.026793167881498593	0.01323950680007643
185	0.030112477672326006	0.047012670287649196
186	0.02555347068854983	0.05898297054428049
187	0.040375048209948375	0.09506271796115505
188	0.06556693665032387	0.057569619567300744
189	0.08368836265233479	0.08095393747978331
190	0.04639681125545523	0.04351100535537455
191	0.055289561430599446	0.029776643724117913
192	0.032511294212406845	0.023154399061722158
193	0.0369555554087375	0.016654111517390033
194	0.025225170029544157	0.028203811495316453
195	0.03411921563097443	0.016335616721074118
196	0.025578036483312597	0.013015480665013065
197	0.033815484993062854	0.027556300636494415
198	0.023165140285098123	0.06482621504063177
199	0.042212680347291004	0.057295088119784184
200	0.03271819038543541	0.08937908353408165
201	0.03688871021621508	0.06419863158813818
202	0.05220781683235332	0.07222029870913063
203	0.04571051228279817	0.03924819087957979
204	0.03181554470118164	0.02266930155768663
205	0.12270907898531108	1.7615000252698997e-11
206	0.0518268760313333	0.020263907907350873
207	0.060886775274498685	0.012390204941300819
208	0.02663811850456797	0.016708168937368442
209	0.030667221923875946	0.04088039204244145
210	0.02135848579609924	0.04703120217408565
211	0.02663420526998259	0.08189129192216202
212	0.022956051730136665	0.05350783409163559
213	0.04617511644788142	0.08074630841677496
214	0.03132813958959942	0.04636430581737766
215	0.04793699657271959	0.049458725544118204
216	0.029213628880882612	0.02868305205497866
217	0.03326705059292309	0.016815361407951836
218	0.023549743786693726	0.02024006864596857
219	0.0301177269980226	0.013092237244112919
220	0.026175323550471773	0.015683136110751256
221	0.03312065151349876	0.029099372973271573
222	0.023433319645953833	0.06351850686637307
223	0.08701028013242232	0.04726121356275341
224	0.030455330598041938	0.08887515018050147
225	0.03857189691409603	0.062354309939761036
226	0.03715447435032509	0.07886887102531044
227	0.03465845983063507	0.046526020380457694
228	0.02823055656722547	0.034900726686385365
229	0.03112234002067571	0.023431115995022636
230	0.02096135953938956	0.017654080500281416
231	0.052322000653782647	0.008879609360095568
232	0.03772570559114534	0.008077965754578354
233	0.0359774461209463	0.03583995821041233
234	0.01952340915488887	0.040522858433568
235	0.029369410843750485	0.06926363055486888
236	0.020690361621104148	0.05722152999465973
237	0.03097311970599148	0.0816145526304798
238	0.022659771418128263	0.05142450902240012
239	0.038735796078779416	0.06441308888937848
240	0.026791381626206586	0.0375874851661188
241	0.04826123310484289	0.021969339977996542
242	0.030561259948266778	0.020156684776950307
243	0.029101214564861193	0.013792555661507831
244	0.01879961837758007	0.017345132890609953
245	0.023821571247257783	0.023191546466718435
246	0.02029847835648043	0.05089894086485555
247	0.1032168310012732	0.029581062859467433
248	0.07044136706013328	0.06612040621005062
249	0.06656714653656272	0.0469389138014596
250	0.02900855744708746	0.07572533570265706
251	0.033685323977589596	0.044885416106317265
252	0.02826425969633739	0.047712047817250004
253	0.02829004697063282	0.02948224212677639
254	0.019596355174023333	0.02016310524299774
255	0.03435009884615075	0.01530694101636289
256	0.029787617352897935	0.013947294508569165
257	0.028668254759562962	0.035372956629702405
258	0.018802699599639303	0.03552958193821288
259	0.02298559895299914	0.06512233595392387
260	0.01640612661894569	0.05255894884174263
261	0.02445921065376829	0.07812565965879527
262	0.02260647212598635	0.05146826383633563
263	0.03443982744882329	0.06590663211365239
264	0.024905274845420565	0.03840225022461314
265	0.10553878254469164	0.015263114577447506
266	0.030473133092463748	0.02046844736005959
267	0.03692984485883954	0.012306021343588333
268	0.02038049674352043	0.020379390919238204
269	0.024131679315075958	0.022825916631929104
270	0.01603455927545094	0.0433468243332147
271	0.020526838355070184	0.03714786173879144
272	0.014999012462278001	0.06408271703404604
273	0.0328644146316825	0.04705378426015949
274	0.031234521697140062	0.07082985422808853
275	0.0323772406395006	0.044862164860139275
276	0.022555320690273387	0.05584057952158453
277	0.029878699699827135	0.034417651787604045
278	0.018621452030921613	0.02398122290022725
279	0.026791694816728325	0.017903588497136143
280	0.019036328196306174	0.017946677347147444
281	0.025689154939384205	0.03152588545437402
282	0.018046696540455476	0.029171506912613724
283	0.04818855938457	0.04737176008309548
284	0.015935070923215507	0.04393180146695947
285	0.02603908537280033	0.0678084244633121
286	0.015065269561160466	0.04749871917338125
287	0.02069489774996737	0.06695136870897886
288	0.015912341366722742	0.03852154644630712
289	0.02633687746957079	0.04098447647843883
290	0.06776456914628634	0.01573603378649988
291	0.06200085637469674	0.009215501263300717
292	0.023751900681324038	0.021159368949312047
293	0.030690736749355674	0.018960230060556617
294	0.015215063806907732	0.03883004053755885
295	0.022709591966984483	0.03368983088555475
296	0.014101559133035384	0.05842474267636564
297	0.020540102425980766	0.04200995396371663
298	0.016730309700122136	0.06659691831512948
299	0.025017758274970412	0.0440241763929561
300	0.01823125912524769	0.057777253089578394
301	0.03005788974489244	0.03775679552647142
302	0.01690112275170329	0.033162811459044685
303	0.022780629361406488	0.024769041375035532
304	0.01561143805113193	0.018179148460480552
305	0.022623869394688068	0.026082724183935646
306	0.023716894742110712	0.02225356416756478
307	0.11695756031724015	0.020709906876093597
308	0.03383932800533494	0.032154315893257755
309	0.04588167658423425	0.052612336155631434
310	0.01744128752419267	0.042392093140635204
311	0.02440651322916189	0.05990899925630208
312	0.01437230175475664	0.04024228148524121
313	0.019236354720250537	0.04705584202911957
314	0.015503749384174407	0.03138564666071352
315	0.0332261811441937	0.019761298804853743
316	0.01600954506907493	0.022783342974780553
317	0.025952567690448822	0.01944673826794666
318	0.014473001914600861	0.03630547244316405
319	0.025589988659172915	0.028370214239824373
320	0.012689583243216895	0.05111092310157573
321	0.019594388344328906	0.038011482139694464
322	0.01732287011439673	0.05792319999174906
323	0.022717158913763674	0.04002822900410006
324	0.020308731069976958	0.053972173278592335
325	0.06976679828003435	0.02662386602685056
326	0.021902983491554957	0.03433465443453606
327	0.03379518437963232	0.02352621898799499
