Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4
0	0.0	0.0	0.0	0.0
1	0.09574335350496184	0.09714277400211437	0.0029342186274741275	0.01031887785497098
2	0.029463041940858	0.019752210346505088	0.0008583724381712205	0.0007237238382727837
3	0.01642301683301913	0.00852548399580795	0.0023214587526420166	0.0007162839426629206
4	0.00023594533434364394	0.0006313410021810936	1.131833674377955e-30	6.2554753438446e-144
5	0.0	0.0	0.0	0.0
6	1.8288852867791153e-30	9.92850961740226e-187	0.0015675455362908254	0.0029880983600445586
7	0.00034258099852480303	0.003182711452643708	0.004733901545445754	0.010569560785705784
8	0.0	0.0	0.0	0.0
9	2.6918833687291938e-36	6.877549038369273e-170	0.0003744619562486234	4.688736021037473e-296
10	0.0020175851349794834	0.00044256586459621625	0.00011373026038162916	0.000852836306783775
11	0.004686983002407231	1.2951732057151718e-30	5.2520368291300345e-43	0.00012762333658769792
12	0.034822884084863996	0.04447503321959301	0.004194678021372932	0.0031970092659867645
13	0.04602930496059179	0.04112527326590285	0.0038797263324730565	0.004932324848063062
14	0.07030598669508521	0.05352826956771895	0.0020556188456779395	0.007982467820634515
15	0.1224924065305158	0.06422233574524316	0.015286646075420268	0.013492777124262584
16	0.017008769395499116	0.013900202051020091	0.0030370773921087955	0.0009522994426740499
17	0.009950896700321028	0.010635413974157133	0.0024789934169588707	0.0024996928748092385
18	0.02566635707035202	0.00807497361868706	0.027835981193692277	0.02245330068278638
19	0.061509194239844675	0.008125409310567744	0.013533374106852116	0.005958608654658975
20	0.0017247791578461037	4.673698037432284e-213	0.0009768978472640577	0.0021126137206860384
21	0.0030052370493870053	0.0019240087167717722	0.0007250451122738302	5.3692740659386305e-18
22	0.0012196270192787381	6.833062002527327e-237	1.3568172136281047e-16	1.2211540282821541e-08
23	0.012703490184591656	0.0350526563747328	0.09401482346858764	0.49963972054025796
24	0.00789101106632654	0.015381710634138434	0.00021514295001355646	0.08038947773125064
25	0.023725941134197345	0.03604251172761698	0.0036651935773017058	0.014665306290211138
26	0.10946267162930996	0.09163017889421401	0.009536591057780352	0.01293698291385097
27	0.7107217292984974	0.2185716179169867	0.0011787230688780168	0.0805868973686757
