Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5
0	0.0	0.0	0.0	0.0	0.0
1	0.09470943154191475	0.09720099535912123	0.002835075455727915	0.012203723624723708	0.009703767119859695
2	0.02923331064171938	0.0198209262256137	0.000920171016308823	0.0016775886734584564	0.0016020702427785173
3	0.01630555974199928	0.008577397510333993	0.0023584204583223223	0.0011840672305941419	0.0008974498881492121
4	0.000236490342092874	0.0006283011996926033	5.533304557394855e-33	1.0267224068004567e-164	9.843928444964021e-08
5	0.0	0.0	0.0	0.0	0.0
6	5.137461792541453e-37	5.7543657871058235e-242	0.0016464286426931766	0.002747542264922453	4.158444775468853e-17
7	0.0002859601580089437	0.003139816791996861	0.005122739537315582	0.009808367990088716	2.8841146151860243e-08
8	0.0	0.0	0.0	0.0	0.0
9	1.5402713957576923e-43	1.7479861171301186e-177	0.000386233963650006	0.0	0.0
10	0.002002236514744873	0.0004550271604469766	0.0001589230492223665	0.0008950292873882443	1.320950982886882e-33
11	0.004673007612589627	9.687181605416052e-30	8.30238221106432e-49	0.00034500661070630017	4.4475751398418055e-21
12	0.03445021650880475	0.044455162696918855	0.0038387797545603136	0.0039469328239880525	0.00432458327835509
13	0.045617013701055045	0.041178662941654565	0.0038206194223343467	0.0059684149328451674	0.0037771257345620636
14	0.06963788246240885	0.05367381723957962	0.0019828971787856	0.009201000660305598	0.006402147676500827
15	0.12152409118354113	0.06465209163447257	0.014847320130146982	0.015474203210829278	0.010556692088190508
16	0.016864781729034238	0.013921540263810452	0.00311190718569942	0.0015187228311342557	0.0009666786655402438
17	0.009853278136246233	0.010626036389235462	0.0026170613581680026	0.002723926827510395	0.0004915031972855038
18	0.025037406548412963	0.008373987780058625	0.02519320440124078	0.01827258443171454	0.01768186344986025
19	0.06108643512642269	0.008489467255954652	0.01333830105182117	0.006735002510741267	0.005127396958409751
20	0.0016822639330442831	4.924081892119578e-245	0.0006699703251939719	0.0016475091029119055	0.001693501346945527
21	0.0030014793461225326	0.0019278312738789975	0.0007764356863010345	1.909140095532425e-18	3.016745725623339e-07
22	0.001223215887055195	5.358099523817426e-272	2.9530104661925134e-18	5.462089226050652e-08	2.395866986686131e-08
23	0.010664474426603893	0.034284412420356694	0.10165352148404593	0.4534037517403593	0.027913384763259923
24	0.007594221487811018	0.01518399328658468	0.002454786025741837	0.07411761824933912	1.6753198924084024e-09
25	0.02339065889893421	0.035997367501214954	0.0033307326506211844	0.013855257668513815	0.004771735217249326
26	0.10852648942783699	0.09173967861703457	0.01024613696180613	0.01588106124494001	0.005834528626037478
27	0.7084893965797935	0.22140580716858393	0.003935975334250905	0.10047634766973816	0.0018439903583735424
28	0.19127919275273367	0.1915247406611259	2.5095200763987114e-13	0.04132453137226559	8.944421234158209e-06
29	0.4074025933333038	0.09649047382792027	0.010292237145297463	0.04781309577024419	0.04051729687321896
30	0.07372904885799914	0.0401486403285093	0.012553223236882216	0.019458827964377593	0.014368445992601713
31	0.10999888748466738	0.020757841855122992	0.09090063845193201	0.006108450711114952	0.012524541266426754
32	0.01991474447170957	0.006881021600827741	0.010785482559226105	0.0032325255400554942	0.002653759708635705
33	0.012195066874815842	0.0036715735604996315	0.006354099321582428	0.00367823277235912	0.00026878918393499464
34	0.006023077476823556	0.0030304621834599363	0.001717817521663737	0.0038663267173714095	1.9108456241856524e-07
35	0.007118060977791341	0.0006822602156391079	0.0007423542254666776	0.0007264809763107573	0.0014811653950735685
36	0.009980575541324177	0.020190456332513835	0.0021711656967402797	0.0032550747412766275	1.4660742371922111e-06
37	0.050590448915622886	0.08122235344251033	0.011258277988197889	0.0064798170650219485	0.0018150037230614316
38	0.09528156499132283	0.0952164679227325	0.029418626145748722	0.011252186894697652	0.0009091962776932251
39	0.3561881161931434	0.21095476765461735	0.11612323588226163	0.07062735138519959	0.03797660442689551
40	0.13903096097304476	0.060965641130089794	0.037685192086861254	0.0299907482144527	0.033432928633076765
41	0.49355842855340987	0.06142313598380315	0.07787948599678542	0.06036817747745713	0.041099300047969994
42	0.18714286209854286	0.03809238044321574	0.012825132499519921	0.030105217138524796	0.02238648045226568
