Mass (u)	Comp_1	Comp_2	Comp_3	Comp_4	Comp_5	Comp_6
0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.09195508639476517	0.09025601784557666	0.007163791219615503	0.014537888782041528	0.005971859778817757	0.06032467237478877
2	0.028730550926664586	0.01850850137212436	0.0015286575688826505	0.0020608664950737287	0.0011358343243939677	0.011737768588939629
3	0.015940221677713935	0.007636006819198237	0.00297479932587748	0.0015125968577638616	0.00034213447405181225	0.007936618949905418
4	0.00023280472385463696	0.0006627246124128094	2.551413459077157e-47	1.3874594413759226e-166	1.0109559658273139e-05	1.0279571919766074e-154
5	0.0	0.0	0.0	0.0	0.0	0.0
6	5.751412933071903e-38	7.311242693634427e-211	0.0016562512124851986	0.0027263258063248124	3.983102156615013e-18	3.286694304486482e-143
7	0.00030191974354337384	0.003313059207894607	0.004980487327306558	0.009750606787379077	7.038968005889203e-08	1.483016322341711e-13
8	0.0	0.0	0.0	0.0	0.0	0.0
9	6.136896918422458e-44	4.688969348025577e-125	0.00038466876445370586	0.0	0.0	0.0
10	0.0016856222527129453	3.5887832235104625e-70	0.0007552553683284115	0.0010944019511257403	4.19290704313039e-40	0.004980565849039797
11	0.004464691460841913	4.2551511182493714e-114	9.377043051078005e-46	0.0005367173590758365	1.178287546186733e-20	0.004960778113017073
12	0.032588315444519296	0.0397421442754283	0.007463910851808856	0.005793181873173913	0.0010042953213081484	0.038332936720095835
13	0.044276834316978826	0.037758469216956476	0.006031591144572985	0.007165702318938025	0.0017558021178229989	0.029244902429635712
14	0.06882297218761738	0.051590997721293594	0.0023203569729384663	0.009630529919981643	0.006110902052614186	0.021636453696982777
15	0.12137641603246047	0.06437709425492927	0.012636422360395663	0.014920786114137078	0.012187578267290307	0.013179516352885395
16	0.016665196588975088	0.013467954614714502	0.003123303964993862	0.0016124457046898632	0.0009519878813554791	0.005456596583498147
17	0.009636995537712037	0.010134573781001452	0.0028215160495632945	0.0028748790903615237	0.00030662872916547624	0.005149832331556302
18	0.024577659258723975	0.007653448022255651	0.02603304996696702	0.018631662224093386	0.016135101432713832	0.009928253177467638
19	0.06058280718449942	0.007153926585504648	0.01406990773859185	0.0071328309265748825	0.0039523261894067	0.012548209728718148
20	0.0016760695873556674	8.100257803921081e-241	0.000722447808924026	0.0016417540753347517	0.0016025999048441318	1.158954699725361e-59
21	0.0030201200845177425	0.001988427568225686	0.0006647458324485955	5.480223712826445e-19	8.114055295049066e-07	2.3864479002470126e-07
22	0.0012227668860258882	3.511903156192065e-271	4.272987575401941e-18	2.3794434342720953e-08	2.5475441188573082e-08	1.1529339344098927e-60
23	0.010815328484668747	0.03691129064405626	0.09862341328227452	0.45033782991852356	0.032484927134873824	2.9839465995702105e-07
