component_id,rank,mz,weight
Comp_1,1,16,1.5973832261341399
Comp_1,2,1,1.307883493635328
Comp_1,3,25,1.0886460585322204
Comp_1,4,17,1.0154281977344035
Comp_1,5,24,0.8529118173762765
Comp_1,6,60,0.7389301065703086
Comp_1,7,77,0.6720250374829525
Comp_1,8,76,0.6381131831811176
Comp_1,9,19,0.6292546337514996
Comp_1,10,13,0.6087342116300238
Comp_1,11,26,0.5707358259669825
Comp_1,12,12,0.5430024392750865
Comp_1,13,49,0.46791677968315215
Comp_1,14,61,0.43520191712009043
Comp_1,15,48,0.4340848048306046
Comp_1,16,36,0.3685753004833826
Comp_1,17,137,0.33212033764273025
Comp_1,18,73,0.29479904397259943
Comp_1,19,41,0.27744559349054015
Comp_1,20,72,0.2720197592289559
Comp_2,1,27,0.5764576198189428
Comp_2,2,1,0.5654571710378389
Comp_2,3,41,0.4051702892342524
Comp_2,4,35,0.3422907866613236
Comp_2,5,43,0.33392264268054755
Comp_2,6,29,0.33347940236648815
Comp_2,7,17,0.3090107102535662
Comp_2,8,39,0.29190773281788224
Comp_2,9,55,0.27646974446629347
Comp_2,10,16,0.2634263538709319
Comp_2,11,25,0.24046469201003184
Comp_2,12,57,0.20637682228643559
Comp_2,13,37,0.2059793407121346
Comp_2,14,53,0.18947694300706966
Comp_2,15,13,0.18342029649155975
Comp_2,16,77,0.17319522069804735
Comp_2,17,28,0.16316115970923267
Comp_2,18,41,0.15861404683614388
Comp_2,19,42,0.15470639462161354
Comp_2,20,59,0.15244370249011074
Comp_3,1,27,0.21534637483963479
Comp_3,2,41,0.19560791992144935
Comp_3,3,39,0.1871604914661661
Comp_3,4,55,0.1652469722923093
Comp_3,5,77,0.16208379198921663
Comp_3,6,43,0.15717016673058345
Comp_3,7,53,0.15067615753190958
Comp_3,8,25,0.14760221044453328
Comp_3,9,91,0.1437728325862522
Comp_3,10,51,0.13797927343530145
Comp_3,11,49,0.13623706614884076
Comp_3,12,115,0.13375736032365465
Comp_3,13,65,0.13315232552302547
Comp_3,14,29,0.13091379294585892
Comp_3,15,63,0.12208575499544334
Comp_3,16,41,0.11588472163421229
Comp_3,17,128,0.11360792459131548
Comp_3,18,79,0.10554955554462536
Comp_3,19,45,0.10287855590861854
Comp_3,20,73,0.09806550318973008
