component_id,rank,mz,weight
Comp_1,1,39,0.6808399135848252
Comp_1,2,27,0.6232670824853954
Comp_1,3,53,0.5202805956640851
Comp_1,4,29,0.44128567606509744
Comp_1,5,52,0.44027180776066216
Comp_1,6,41,0.4398281609297429
Comp_1,7,77,0.4207912563149079
Comp_1,8,249,0.3989646653359297
Comp_1,9,35,0.389736901066141
Comp_1,10,43,0.3876793071218963
Comp_1,11,265,0.3670365859091443
Comp_1,12,163,0.36615140352113895
Comp_1,13,61,0.3658388635556483
Comp_1,14,146,0.3619235101532545
Comp_1,15,15,0.35580038675276676
Comp_1,16,55,0.344693477545769
Comp_1,17,249,0.33697549942871313
Comp_1,18,66,0.32551971680225056
Comp_1,19,223,0.3246752548199488
Comp_1,20,26,0.3222862889504161
Comp_2,1,16,1.0207937710005255
Comp_2,2,1,0.9489417380041096
Comp_2,3,25,0.8510866255195177
Comp_2,4,17,0.8239974052349678
Comp_2,5,24,0.7441801768023314
Comp_2,6,60,0.6861848894136919
Comp_2,7,77,0.657753396731547
Comp_2,8,13,0.6393638239384879
Comp_2,9,19,0.6348257201008142
Comp_2,10,76,0.6320312346802698
Comp_2,11,26,0.6089863466544986
Comp_2,12,12,0.5966781646394966
Comp_2,13,49,0.5640666526064579
Comp_2,14,48,0.5318840787738511
Comp_2,15,61,0.5318829625921498
Comp_2,16,36,0.4923197952274271
Comp_2,17,137,0.4668371490203473
Comp_2,18,41,0.45179343517675336
Comp_2,19,73,0.44680637528247796
Comp_2,20,72,0.421080754188073
Comp_3,1,115,0.6517927009970665
Comp_3,2,128,0.5803647599911896
Comp_3,3,77,0.5770445856484722
Comp_3,4,65,0.5528756178334088
Comp_3,5,127,0.5206791783502028
Comp_3,6,165,0.5187900824872651
Comp_3,7,53,0.4991986256319264
Comp_3,8,91,0.4960799100681835
Comp_3,9,152,0.4853902455081019
Comp_3,10,153,0.4800007237241784
Comp_3,11,66,0.4762301644556328
Comp_3,12,78,0.4490303618889297
Comp_3,13,51,0.44844887061617783
Comp_3,14,178,0.44415972627491457
Comp_3,15,52,0.44389701578791213
Comp_3,16,116,0.44367806293647377
Comp_3,17,102,0.443179988031196
Comp_3,18,141,0.43741515393073027
Comp_3,19,101,0.4100836478203593
Comp_3,20,129,0.38948306700163116
