component_id,rank,mz,weight
Comp_1,1,16,1.610385719246647
Comp_1,2,1,1.3021682398587688
Comp_1,3,25,1.0965121885135558
Comp_1,4,17,1.012622290104453
Comp_1,5,24,0.8614883410358356
Comp_1,6,60,0.7449004964110948
Comp_1,7,77,0.671386483518007
Comp_1,8,76,0.6449162123614463
Comp_1,9,19,0.6342039842869283
Comp_1,10,13,0.6113582038590727
Comp_1,11,26,0.5588154731137389
Comp_1,12,12,0.5479245152821342
Comp_1,13,49,0.4699535487217604
Comp_1,14,48,0.43825841431994017
Comp_1,15,61,0.4335317358793296
Comp_1,16,36,0.37090074548535823
Comp_1,17,137,0.32983163735030674
Comp_1,18,73,0.29639426826863485
Comp_1,19,72,0.2744920414930755
Comp_1,20,41,0.2742172137095176
Comp_2,1,1,0.652544462470737
Comp_2,2,35,0.4188449087959703
Comp_2,3,17,0.35902651606059777
Comp_2,4,16,0.3192892185853007
Comp_2,5,25,0.2752759938235893
Comp_2,6,37,0.2414533120394414
Comp_2,7,13,0.21378956915791616
Comp_2,8,59,0.17764746255983377
Comp_2,9,41,0.1743011649926635
Comp_2,10,43,0.1597660131986052
Comp_2,11,119,0.14558051410687478
Comp_2,12,281,0.13320107524076025
Comp_2,13,49,0.12467224029213632
Comp_2,14,179,0.12187585222785327
Comp_2,15,467,0.1212223359073413
Comp_2,16,569,0.12010918921045514
Comp_2,17,365,0.11957446027622608
Comp_2,18,323,0.11829126989410728
Comp_2,19,45,0.11640616530953454
Comp_2,20,425,0.11159250707058026
Comp_3,1,25,0.21633763061182834
Comp_3,2,1,0.1977227827985437
Comp_3,3,49,0.18752658256623952
Comp_3,4,41,0.1708179310505937
Comp_3,5,45,0.14720647016977798
Comp_3,6,73,0.13166841637373028
Comp_3,7,65,0.11803929028363849
Comp_3,8,24,0.09849568599361837
Comp_3,9,69,0.09216229979146
Comp_3,10,67,0.0850094744280955
Comp_3,11,281,0.08125354687403835
Comp_3,12,53,0.08096671700175304
Comp_3,13,13,0.07695381537973048
Comp_3,14,48,0.07300437887690367
Comp_3,15,62,0.07269495904113474
Comp_3,16,61,0.07265152289342026
Comp_3,17,179,0.06984768786134718
Comp_3,18,425,0.06955354855714646
Comp_3,19,569,0.06945472585922181
Comp_3,20,323,0.06804478779637567
Comp_4,1,26,0.22198617531004064
Comp_4,2,1,0.2044315218945274
Comp_4,3,17,0.14791179491934092
Comp_4,4,42,0.10198759328500275
Comp_4,5,77,0.09545300899011165
Comp_4,6,61,0.07717733906993884
Comp_4,7,137,0.06969572512865292
Comp_4,8,41,0.0666359487353935
Comp_4,9,50,0.06545182988655623
Comp_4,10,38,0.0587613432246865
Comp_4,11,197,0.057923521934329376
Comp_4,12,80,0.05688258828682028
Comp_4,13,35,0.05471130415669124
Comp_4,14,33,0.049788029074496046
Comp_4,15,45,0.047743889078133296
Comp_4,16,79,0.040727154633687146
Comp_4,17,14,0.040518068275242174
Comp_4,18,37,0.04051602169370619
Comp_4,19,74,0.0405107312594041
Comp_4,20,118,0.0403843290085816
