component_id,rank,mz,weight
Comp_1,1,27,0.7084893965797935
Comp_1,2,41,0.49355842855340987
Comp_1,3,29,0.4074025933333038
Comp_1,4,43,0.4062253460206418
Comp_1,5,39,0.3561881161931434
Comp_1,6,55,0.3384360868229292
Comp_1,7,57,0.24488909702074121
Comp_1,8,53,0.23606681245082925
Comp_1,9,77,0.21605008372729423
Comp_1,10,28,0.19127919275273367
Comp_1,11,42,0.18714286209854286
Comp_1,12,51,0.18154383516601288
Comp_1,13,45,0.16347622044536655
Comp_1,14,69,0.1626312825024537
Comp_1,15,61,0.15598734963709807
Comp_1,16,67,0.15579672988858376
Comp_1,17,65,0.1550250392502362
Comp_1,18,91,0.14560496297527759
Comp_1,19,163,0.1413340808227064
Comp_1,20,40,0.13903096097304476
Comp_2,1,45,0.2577707435837033
Comp_2,2,27,0.22140580716858393
Comp_2,3,39,0.21095476765461735
Comp_2,4,63,0.20166813197929934
Comp_2,5,51,0.19152747297700987
Comp_2,6,28,0.1915247406611259
Comp_2,7,74,0.15661698869019655
Comp_2,8,50,0.15073532274160822
Comp_2,9,62,0.14740664094674588
Comp_2,10,75,0.14700175868286447
Comp_2,11,53,0.14141451976153785
Comp_2,12,86,0.13200291064315028
Comp_2,13,87,0.13173478475499592
Comp_2,14,98,0.12750281272635883
Comp_2,15,77,0.1262046746675698
Comp_2,16,89,0.1021201332347233
Comp_2,17,110,0.10088238034791817
Comp_2,18,99,0.09730666093031044
Comp_2,19,1,0.09720099535912123
Comp_2,20,29,0.09649047382792027
Comp_3,1,91,0.15251291403027298
Comp_3,2,115,0.14878536025781472
Comp_3,3,77,0.14384794305721876
Comp_3,4,128,0.13221348017799056
Comp_3,5,65,0.13033797580010628
Comp_3,6,51,0.12151856566004658
Comp_3,7,53,0.1188390138763328
Comp_3,8,39,0.11612323588226163
Comp_3,9,63,0.11591777912176571
Comp_3,10,55,0.10674789072139157
Comp_3,11,23,0.10165352148404593
Comp_3,12,152,0.09808227607513606
Comp_3,13,79,0.09617060834174108
Comp_3,14,31,0.09090063845193201
Comp_3,15,127,0.09022265873149148
Comp_3,16,129,0.08913017818205446
Comp_3,17,165,0.08679625290409547
Comp_3,18,78,0.08430691436827496
Comp_3,19,141,0.08184885614827654
Comp_3,20,153,0.08077252821428173
Comp_4,1,23,0.4534037517403593
Comp_4,2,27,0.10047634766973816
Comp_4,3,24,0.07411761824933912
Comp_4,4,39,0.07062735138519959
Comp_4,5,41,0.06036817747745713
Comp_4,6,29,0.04781309577024419
Comp_4,7,43,0.04259779897469212
Comp_4,8,55,0.04219145910027741
Comp_4,9,28,0.04132453137226559
Comp_4,10,57,0.03268957807722869
Comp_4,11,42,0.030105217138524796
Comp_4,12,40,0.0299907482144527
Comp_4,13,53,0.02801516111459721
Comp_4,14,56,0.024247902949212984
Comp_4,15,45,0.023189637505366213
Comp_4,16,44,0.02252092224676938
Comp_4,17,83,0.022494532840339875
Comp_4,18,52,0.021683957711939667
Comp_4,19,77,0.021373538645521623
Comp_4,20,54,0.020286729254335396
Comp_5,1,57,0.09992446979129188
Comp_5,2,73,0.06076971262141005
Comp_5,3,43,0.05442732133806291
Comp_5,4,83,0.051738450169580806
Comp_5,5,41,0.041099300047969994
Comp_5,6,45,0.0407338732118664
Comp_5,7,29,0.04051729687321896
Comp_5,8,105,0.040501482649343654
Comp_5,9,39,0.03797660442689551
Comp_5,10,283,0.037334898066785666
Comp_5,11,405,0.03633102705670804
Comp_5,12,59,0.035028934521124204
Comp_5,13,159,0.03452394371929895
Comp_5,14,40,0.033432928633076765
Comp_5,15,181,0.03274090265460249
Comp_5,16,58,0.03250593386582787
Comp_5,17,427,0.03060350626614755
Comp_5,18,507,0.03009098832793396
Comp_5,19,75,0.029778311241992712
Comp_5,20,81,0.02862767961358361
