Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
0	70.00379978339976	67.00334954689153	93.0053639148925	113.00830936432858	101.00717999456978	80.00418123479392	45.00171670480826	82.00416595194525	112.00782859220811	108.00755387269857	83.00466196466391	64.00289935417247	90.00511208876009	91.00547078588238	86.00454746389295
1	515415.5183543619	195487.3472502915	559197.360519566	593298.8326072755	584873.3002655235	593446.9883074232	171470.7862105514	578535.8172085148	597427.8700176327	577195.0885377428	592286.1741356751	191308.89945073804	591974.0438656552	604690.6609348617	571065.3223233243
2	69.00423474776164	30.000686672982443	74.00372343945693	98.00726406998967	64.00273150423324	61.00298334481102	27.000679044286358	72.00444071881557	69.00391422515682	82.00584480064236	80.00555478848132	25.000724829811777	67.00388372092708	65.00365479562923	70.00366242635023
3	4.000030517888569	2.000015258944285	6.000045776832854	0.0	3.000022888416427	2.000015258944285	0.0	6.000061036087587	2.000015258944285	9.00006866524928	4.000030517888569	3.000022888416427	4.000030517888569	2.000015258944285	10.000091553976157
4	0.0	1.0000076294721425	0.0	2.000015258944285	1.0000076294721425	1.0000076294721425	0.0	2.000015258944285	0.0	1.0000076294721425	0.0	0.0	0.0	1.0000076294721425	2.000015258944285
5	2.000015258944285	2.000015258944285	5.000038147360711	2.000015258944285	2.000015258944285	2.000015258944285	0.0	2.000015258944285	1.0000076294721425	2.000015258944285	3.00003814767116	3.000022888416427	3.000022888416427	5.000038147360711	6.000045776832854
6	2.000015258944285	0.0	4.000030517888569	1.0000076294721425	1.0000076294721425	2.000030518199017	2.000015258944285	0.0	3.000022888416427	1.0000076294721425	1.0000076294721425	3.000022888416427	1.0000076294721425	1.0000076294721425	0.0
7	16.00013733080901	10.000076294721422	7.000053406304996	9.00006866524928	11.000083924193564	8.000061035777138	11.000083924193564	13.000114442392585	7.000053406304996	11.000083924193564	18.00013733049856	10.000076294721422	10.000076294721422	12.000091553665708	6.000045776832854
8	4.000030517888569	1.0000076294721425	5.000038147360711	1.0000076294721425	2.000015258944285	4.000030517888569	2.000015258944285	1.0000076294721425	2.000015258944285	1.0000076294721425	1.0000076294721425	0.0	2.000015258944285	2.000015258944285	0.0
9	0.0	0.0	1.0000076294721425	1.0000076294721425	2.000015258944285	0.0	0.0	0.0	0.0	0.0	0.0	1.0000076294721425	1.0000076294721425	0.0	1.0000076294721425
