mass	P1_500μC-N	P1_2000μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_500μC-N	P2_2000μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_500μC-N	P3_2000μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
0	53.56756443692295	67.06966368970322	119.68691411395335	129.52589164152485	82.17624959978777	33.873615232375855	74.90371500260723	93.65019600026001	105.55596846265573	86.17737075225209	87.23435432512768	66.86242196226719	82.03877808649615	107.7038978598168	95.77602785680827
1	190226.57684473408	551368.6207209624	331235.94388220075	676570.4934787051	574957.2420802511	157494.26665065697	502412.3039580403	721299.6349520638	536189.9304625208	554074.3834569752	156084.5638437071	600165.9718884488	428532.7933637739	598034.776465652	590146.90025768
2	24.472198722597376	85.78314345566456	49.01192170068585	119.03167370614263	51.89747932188662	26.206643376308243	97.53204196619154	55.63263451530098	80.07685980390511	73.8672085428429	29.922674056587393	106.60834627530305	80.29341974398075	71.08677544516665	112.74195561729623
3	1.8422798432166507	4.986864446932986	6.33894736515976	0.0	3.356623816330454	0.0	2.5072614393526806	5.424819390083523	1.11442914764909	10.001441749454218	3.4798653696940343	4.6996027304351955	4.010085602780913	2.0193388212243413	12.477996524460869
4	1.0307095813853697	0.0	0.0	1.5360854919263476	0.8049210633085407	0.0	0.5852491035639494	2.7412152676940016	0.0	1.0754272793079058	0.0	0.0	0.0	1.117680071400033	2.6632903958085343
5	2.6887352892746472	1.7758912700295846	5.113210904246719	2.031539109683362	1.6081709494292489	0.0	1.6315905313088228	2.0715921927875756	1.0468581019691376	2.56591804935354	2.5929408274852435	3.655820370756903	4.01306877657214	4.779418091663081	4.41201689473462
6	0.0	2.0255349883839155	6.770684386227516	1.1158365340445024	0.8782897086091441	2.6231157855039964	1.3484959467942954	0.0	3.5018997141612696	0.9995901944295291	2.9316424064969016	1.5482757723508107	0.6614745735338048	0.7888736265389485	0.0
7	12.901673621442134	8.847070335900042	5.338681412686803	13.747801780945915	11.587001551772927	14.786375021341458	8.877488981792046	11.777598779767589	5.976554543027296	11.66774071534345	6.606861632765029	15.995337853558462	8.904772215061792	7.704203251187129	7.4862608313241195
8	0.882055258976471	4.849715000634678	5.456667525584295	1.2949554978661602	1.8255623037291804	1.801246840783806	4.0490035639799276	1.2675308958151512	1.8856859922730553	1.0059147119122915	0.0	0.7687786833614277	2.135326626155754	1.545730856859383	0.0
9	0.0	0.0	1.2792675146295451	0.8936234672687373	1.9997522809231303	0.0	0.0	0.0	0.0	0.0	1.325282539638317	0.0	0.8762472956590602	0.0	0.846340768889858
