Sample,OI,AOI_neg,H_Loss,Oxide_Form,Al_C_Bond,Carbonyl,Pattern,Dose
P1_2000μC-N,0.3121969399715356,0.2251881486961491,0.6130737066484443,0.5974459071380327,0.1084338432066379,0.1665932003398787,P1,2000
P1_500μC-N,0.37276065893168536,0.0705934106580466,0.7596800909836832,0.7388263417449518,0.0462531679410022,0.2684104129988178,P1,500
P1_5000μC-N,0.3029287363830784,0.20254140370149898,0.5483307798681045,0.5349097297165127,0.1239230336764183,0.17785665452405902,P1,5000
P1_10000μC-N,0.30937523985853793,0.1908642308463379,0.4918398996921108,0.4792913204749527,0.1378810538905004,0.1955497138562049,P1,10000
P1_15000μC-N,0.3124106208603542,0.1846001601981119,0.4601765839610806,0.448728420931304,0.146336742140847,0.2038081375403657,P1,15000
P2_2000μC-N,0.30144647594247426,0.2091122142641659,0.5649456676587038,0.5508352946121887,0.11837032843215389,0.166222784770043,P2,2000
P2_500μC-N,0.3734502389735889,0.0711308845286102,0.7631081579784925,0.7419612867028672,0.042065415617618895,0.2678838644452362,P2,500
P2_5000μC-N,0.3026791512868273,0.203991849101142,0.5412197063889079,0.5279185969299816,0.12675800085562328,0.1763406525855051,P2,5000
P2_10000μC-N,0.3118077613882114,0.1921649206732332,0.4860802466880117,0.4738055504124902,0.1402540515626056,0.19679628875168348,P2,10000
P2_15000μC-N,0.29421212010784165,0.1744834217116423,0.43713250435093803,0.4255683272208973,0.14300394528612842,0.1911337735351231,P2,15000
P3_2000μC-N,0.3050013736362905,0.2124578292555324,0.5753542337682924,0.5609273678317557,0.1171805455649095,0.16783772036333489,P3,2000
P3_500μC-N,0.3748908477887767,0.07123375097530879,0.7623226505383665,0.7401876496939812,0.043436876348967,0.2690405199834442,P3,500
P3_5000μC-N,0.3054541258021255,0.2066615106142654,0.5476933367561326,0.5341225580316968,0.1260667074849963,0.1768357811232726,P3,5000
P3_10000μC-N,0.315612328923776,0.1959051977397366,0.4975586922018915,0.48478287605210946,0.14127856928245622,0.1974300530003992,P3,10000
P3_15000μC-N,0.317545885864641,0.18770012448968149,0.466248702401115,0.455101027116999,0.1482110481629005,0.20766649844353763,P3,15000
