Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
0	0.0055191504558394664	0.006932296313392355	0.005857864983855169	0.0058655270120512165	0.0053811037626091875	0.005460384893226046	0.00593512053030008	0.005332412027129529	0.005745543610075994	0.005249049331392485	0.005697251840776949	0.00684436402175466	0.005705366785536444	0.0052928319233340754	0.005067798941500919
1	0.47357653057261523	0.3744451308586799	0.4542217390782481	0.4249996742279957	0.4094738212956949	0.4702814830104328	0.3663617053488105	0.44788948531477046	0.41961371606691994	0.38372041246640626	0.4812602277320341	0.37419748332057245	0.4627019324556617	0.43144057218151854	0.4129538916862928
2	0.0054796055686952855	0.004638680478816301	0.005225311014171123	0.005462368351044047	0.004283457852546073	0.004768068118696215	0.004597294714572126	0.004996724238787673	0.004509659996788662	0.004573787598844388	0.0055933789713974915	0.004277692631842648	0.004922661454028687	0.004473250717578366	0.004572135049447685
3	0.0013192985306870635	0.0011976930114523073	0.0014878619630113235	0.0	0.000927379576895	0.0008633433904687674	0.0	0.0014423928985417692	0.0007677566573059619	0.0015152228136893148	0.001250678911943165	0.0014818203671102491	0.0012027673582409655	0.0007846410171696323	0.001728067319240808
4	0.0	0.0008468968501776638	0.0	0.0007803123935670065	0.0005354228483612896	0.0006104759658930507	0.0	0.0008327648693114414	0.0	0.0005050742712297717	0.0	0.0	0.0	0.0005548249840377573	0.0007728146094796296
5	0.0009328849374582712	0.0011976930114523073	0.0013582259326586981	0.0007803123935670065	0.0007572022537569687	0.0008633433904687674	0.0	0.0008327648693114414	0.000542885938682162	0.0007142828843788502	0.0010831224642956694	0.0014818203671102491	0.0010416270870793748	0.0012406263799236608	0.0013385541684502189
6	0.0009328849374582712	0.0	0.0012148342056911602	0.0005517641849351364	0.0005354228483612896	0.0008633466839315371	0.0012512141779526737	0.0	0.0009403060285122266	0.0005050742712297717	0.0006253394559715826	0.0014818203671102491	0.0006013836791204829	0.0005548249840377573	0.0
7	0.0026385983195837495	0.002678122989783793	0.001607074596216749	0.001655292554805409	0.0017757966921977527	0.0017266867809375345	0.0029343573495918688	0.002123143405477191	0.0014363411840268609	0.0016751418489313475	0.0026530906191660746	0.0027054214707895657	0.0019017421736725717	0.0019219701233239737	0.0013385541684502189
8	0.0013192985306870635	0.0008468968501776638	0.0013582259326586981	0.0005517641849351364	0.0007572022537569687	0.0012209519317861015	0.0012512141779526737	0.0005888536862240492	0.0007677566573059619	0.0005050742712297717	0.0006253394559715826	0.0	0.0008504849552020163	0.0007846410171696323	0.0
9	0.0	0.0	0.0006074171028455802	0.0005517641849351364	0.0007572022537569687	0.0	0.0	0.0	0.0	0.0	0.0	0.0008555293878417724	0.0006013836791204829	0.0	0.0005464624509630797
10	0.0	0.0	0.0	0.0	0.000927379576895	0.001057375389726449	0.0	0.0005888536862240492	0.0	0.0007142828843788502	0.0006253394559715826	0.0008555293878417724	0.0006013836791204829	0.0	0.0005464624509630797
11	0.0013192985306870635	0.0	0.0010520772835148349	0.0009556836021044862	0.001197241885642405	0.0008633433904687674	0.0012512141779526737	0.0013167168711983052	0.001085771877364324	0.0011293804041559356	0.001083119709720262	0.0012099012632945862	0.0010416270870793748	0.0	0.0013385541684502189
12	0.10268267257551228	0.1519930512633253	0.09983483623821886	0.0966054521111421	0.09544911202909827	0.09902550696789544	0.15674098249544494	0.09850944886192911	0.09505864193961812	0.08825269232042601	0.10199759619524967	0.1526586077086311	0.09952358707800478	0.09636022761172845	0.09632584727010375
13	0.16722762346300274	0.17207520726363706	0.16274502627382303	0.15287546013793102	0.14923607950114176	0.1643898878830464	0.17316251026809729	0.15917658061386036	0.14910770667943463	0.1381867617181228	0.16912647912720205	0.1728375216112567	0.16277618905787933	0.15377379720219247	0.14996990166968494
14	0.06717699718985531	0.04560620297206748	0.06421000583118425	0.058339707955253874	0.055245556765789045	0.06741969595237365	0.043256325487152594	0.06266860027502755	0.057421950042156916	0.05167841564520007	0.06940816901887134	0.045273438994220275	0.06560608713724503	0.05967882857397293	0.056041026707034924
15	0.02447615977891011	0.009121792022934463	0.023344274616853844	0.023133845943234383	0.022582638905129192	0.025456052547057566	0.008623672886482171	0.024419504091621753	0.02335784862841005	0.02128455306342817	0.025459355746429657	0.008891339929207646	0.02436532242357966	0.022887281394391824	0.02274718316331932
16	0.30964969299951123	0.4488266209701168	0.2736530517191607	0.2457459079181279	0.23006812874385363	0.27877119071060846	0.4570084616516619	0.2688394654792769	0.24180834590086644	0.21836880595719635	0.2842432503540066	0.45101865844306993	0.2707809204823482	0.24709285427829425	0.2332569030773573
17	0.28779621413852163	0.289999720774835	0.261256677997352	0.23354541255682482	0.21866029218745048	0.2720641039015803	0.28495282505120534	0.2590791314507047	0.2319972045116238	0.20719952126370103	0.276684117477749	0.2891689912509113	0.2633416375493487	0.2376900217738153	0.2218441240396417
18	0.01562779951041169	0.02085374923873142	0.013421050151591807	0.012548579217158101	0.01144816302977666	0.014110373046515178	0.021146871275625333	0.01330110945892647	0.012274696275521515	0.011564177130040773	0.014426865936536769	0.022135000844385376	0.013570778724435847	0.012775816149782068	0.01114767528411603
19	0.07979647426627898	0.1770033147474396	0.06456851064182467	0.05520643446946723	0.04961861882136933	0.07218044354973834	0.18136666459181397	0.06556042479294012	0.0554467512363411	0.04729167435463676	0.07594062935053654	0.1755608198035136	0.06726347695281033	0.057559643142760034	0.05143108883843701
20	0.0011425460427504808	0.001466868373277761	0.001607074596216749	0.0014598308156906223	0.000927379576895	0.0012209519317861015	0.00153241814745998	0.0014423910644058725	0.001085771877364324	0.001336300915291161	0.001083119709720262	0.0020956104601679926	0.0017009715326117046	0.0012406263799236608	0.0013385541684502189
21	0.0009328849374582712	0.0008468968501776638	0.0010520772835148349	0.0014598324068154929	0.000927379576895	0.0008633433904687674	0.00153241814745998	0.0005888536862240492	0.0012139298629220965	0.0015152266672226959	0.001083119709720262	0.0008555293878417724	0.0010416270870793748	0.0007846410171696323	0.001092924901926159
22	0.0009328849374582712	0.0011976930114523073	0.0008590175048615926	0.0015606262754951456	0.0016062699067651745	0.0016151675871349611	0.0017694840598941742	0.0005888536862240492	0.0014363411840268609	0.0011293804041559356	0.001250678911943165	0.001913021867962985	0.0015911133916986946	0.0017545119909414026	0.0007728146094796296
23	0.0014750205986159331	0.002240680893894296	0.0013582259326586981	0.0015606247871340127	0.0016931557121166274	0.0019305004005858112	0.001769487434991207	0.0010199245027642746	0.001329793538303173	0.001336300915291161	0.0015317625831600043	0.0017110587756835446	0.0017009715326117046	0.0013590381074403267	0.0013385541684502189
24	0.12529966135447865	0.23738775336629037	0.1267655615125475	0.12869941142163144	0.12869099519203572	0.12107556762950454	0.24634350491945584	0.12375736986598825	0.12622474720375873	0.11893745301557196	0.12332326020255613	0.24049890961624526	0.12443327485915708	0.12749282955409194	0.13029316921479187
25	0.23883667344814402	0.3064793226052523	0.2448174893780074	0.2555582172223899	0.25823498837620495	0.23625511421673007	0.309383389908804	0.24054150145095266	0.2502660958063073	0.23766188230212396	0.24050753668571886	0.3102175821852118	0.24413731144563852	0.25525905087507406	0.26063405826607766
26	0.10368474502760225	0.16855635755343723	0.0878659401882213	0.08717550269360584	0.0849137720566132	0.07934200650725699	0.1595837312275073	0.08102393064170356	0.08103607045842634	0.08382798278387558	0.08051590290191103	0.15732426379248476	0.0806459060291812	0.08103323061278914	0.08051659428461506
27	0.04213056712727798	0.021911772368451793	0.0422854148577429	0.04214848941488572	0.042553800762993005	0.042952122651525794	0.02014117859295423	0.042224967341382716	0.04245312513982737	0.04058538635486441	0.04231068830650621	0.020698099552945926	0.04300501153128917	0.043012747353268106	0.04301862849144208
28	0.01457511139348798	0.054433037634052946	0.01204331162384321	0.009653086927522607	0.010075303127689285	0.015447869937001014	0.054694258666347036	0.012127434888600028	0.010401702193187732	0.009314315135244406	0.015549636713062975	0.054555893976009955	0.012223568814987257	0.01100067723514417	0.009466150500582273
29	0.019951269555806346	0.044249550285733526	0.019795217326748844	0.01953483446361811	0.019450095464337548	0.020303599215988132	0.043816236973552206	0.02042701413971114	0.019585919313871773	0.01868602757507919	0.021180688600343302	0.04461039665996868	0.01987383937921757	0.020390903442056525	0.01977562142402263
30	0.006258206829148725	0.019703313091105148	0.005082129651297687	0.004714401405528977	0.004181865632940682	0.006518422069480852	0.019225772222522253	0.005031313764544645	0.003914871085640094	0.004344919785973218	0.006499001549737298	0.020123741507181166	0.005412639208219026	0.004473228138408792	0.004302932777483092
