Sample,OI,AOI_neg,H_Loss,Oxide_Form,Al_C_Bond,Carbonyl,Pattern,Dose
P1_2000μC-N,-21.683786939865687,7.627448975455972,-25.345988232726903,-22.472843911731033,-2.4567046803941848,-18.093014176401496,P1,2000
P1_500μC-N,131.8206759022409,27.16689400902652,140.87191655834633,125.99988445536431,24.838013704204645,80.60394469774987,P1,500
P1_5000μC-N,-33.84984092308947,-5.670369372326494,-35.36980649209611,-31.432363933639238,-5.994930096530542,-21.068606045340537,P1,5000
P1_10000μC-N,-38.64467624546692,-12.016294232663483,-41.09067508871122,-36.70845730300796,-7.462474439353185,-21.590395867517074,P1,10000
P1_15000μC-N,-41.1404438254087,-15.013729496835765,-43.89450091178791,-39.200131103668994,-8.05986989296632,-22.10570926335805,P1,15000
P2_2000μC-N,-30.953869559112555,-1.9072547969486862,-32.57176487700166,-28.942622387754163,-3.8484240286563605,-21.389817731856724,P2,2000
P2_500μC-N,146.06897775636708,32.675939895445765,155.93022922992864,139.23501365599333,22.437455223470206,87.70094373531568,P2,500
P2_5000μC-N,-33.612393973316124,-5.168410071183217,-35.542754029980564,-31.597808416177124,-4.041239934727059,-21.175317649787516,P2,5000
P2_10000μC-N,-38.910678344165675,-12.284052485706642,-41.69384502602509,-37.23281550049106,-7.202719598847029,-21.72648928712878,P2,10000
P2_15000μC-N,-46.399903292231954,-18.750296822337482,-46.22534406399181,-41.40846124806566,-12.652619169317294,-25.36701204355828,P2,15000
P3_2000μC-N,-28.902675277300325,0.009009300614972793,-31.096334594559092,-27.617067874093763,-3.114307535637564,-20.471702403109965,P3,2000
P3_500μC-N,145.17982925072405,31.93649850387669,154.502789412068,136.98456932993224,22.5404391902498,87.40436313428367,P3,500
P3_5000μC-N,-32.759312164114874,-4.355966377283366,-34.95312059792289,-31.081478617843892,-3.931475377216263,-20.92184375033044,P3,5000
P3_10000μC-N,-36.768332606814276,-10.42367783400993,-40.295493372117136,-36.001110604694425,-4.807834318503461,-20.77022237921885,P3,10000
P3_15000μC-N,-39.44356975844551,-13.825739195124845,-43.22530791342266,-38.52430654012265,-6.2433090457753515,-21.0291209697415,P3,15000
