pattern	index	spearman_rho	p_value	n_points	significance
P1	OI	-0.9999999999999999	1.4042654220543672e-24	5	***
P1	AOI	-0.7071067811865475	0.18169011381620928	5	ns
P1	H_loss_Index	-0.8999999999999998	0.03738607346849874	5	*
P1	Carbonyl_Index	-0.8999999999999998	0.03738607346849874	5	*
P2	OI	-0.7	0.1881204043741873	5	ns
P2	AOI	-0.7071067811865475	0.18169011381620928	5	ns
P2	H_loss_Index	-0.8999999999999998	0.03738607346849874	5	*
P2	Carbonyl_Index	-0.7	0.1881204043741873	5	ns
P3	OI	-0.7	0.1881204043741873	5	ns
P3	AOI	-0.7071067811865475	0.18169011381620928	5	ns
P3	H_loss_Index	-0.6	0.28475697986529375	5	ns
P3	Carbonyl_Index	-0.3	0.6238376647810728	5	ns
