mass	P1_500μC-N	P1_2000μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_500μC-N	P2_2000μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_500μC-N	P3_2000μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
0	7.823507794147422	-1.7614423804266919	-1.7285131253427806	-2.046930568943698	-2.6154034800952912	6.398877530478535	-2.1044600765966046	-2.000532043921107	-2.3006831521685176	-2.7781635965190037	11.901492886171223	-2.080987305143813	-2.1270964695649255	-2.154825009138404	-2.4248410029363225
1	63.9801682649165	-6.894639206055899	-19.210706008164077	-15.896790208375673	-19.358639160538623	64.7213563364983	-13.77945822203331	-10.834670172603772	-18.755613984013543	-21.935070701032636	59.23244592729924	-9.850390095018149	-16.7195662169762	-16.389646662162406	-18.308779891739846
2	6.034130960788432	-0.7454218739916019	-2.145852065316966	-1.5883461353131003	-2.5711487102573707	7.50027530440278	-1.205389297541554	-2.022512633885145	-2.088130300154162	-2.5185907602462483	7.677196731732555	-0.8670983774200018	-1.6093527019644007	-2.0706405552121763	-1.7791195856210453
3	3.544672189504942	-0.10677338054765617	-0.31839725892756265	-1.5758255987896508	-0.8871526403293684	-1.5758255987896508	-0.7356580639996934	-0.4125909945029937	-1.1507249308276013	-0.5435542107426443	5.827354554700582	-0.3439295391548244	-0.5721513813059038	-0.9630239472684646	-0.18641919901951046
4	4.811889511528285	-0.7060378434927274	-0.7060378434927274	0.03536759329389279	-0.22017713426305144	-0.7060378434927274	-0.1212344246097336	0.4852581514075233	-0.7060378434927274	-0.21836727227616406	-0.7060378434927274	-0.7060378434927274	-0.7060378434927274	-0.0492160977446879	0.21874457711302728
5	4.751745379557602	-0.582148744776344	-0.328308332695933	-0.868311458378386	-0.9839801754930787	-1.4628676590513643	-0.7819770273961071	-0.7407092215772242	-1.04894886030569	-0.9375891152221795	4.957192319146856	-0.37132276580381895	-0.45417250764405864	-0.5157399838377871	-0.6328618465224848
6	-1.2451840765550732	-0.3610989159671171	-0.0180508063319204	-0.8310168817575447	-0.91253879616425	5.142285200891196	-0.6633600086455897	-1.2451840765550732	-0.5336131698494179	-0.9370254333464922	5.17124456984122	-0.5775039864458806	-0.8602615759781166	-0.8835079665808668	-1.2451840765550732
7	6.143344678952261	-1.1702269942085453	-1.676601829864223	-1.4333735908433005	-1.5973981293639061	7.726438665688021	-1.4072682644765278	-1.3233418194929751	-1.7835364046819278	-1.7012104755526862	4.0302739813229875	-0.9708931865211748	-1.461066340732085	-1.649479149955799	-1.7256611402701207
8	2.7815878253763113	0.36261437598345336	0.03683279859823738	-0.7648915055084852	-0.7240299856083017	5.163509526926201	-0.07747180493477636	-0.6611954892560505	-0.6719522928013435	-0.9325107368343425	-1.310621198968897	-0.7351551744737028	-0.4647122230043852	-0.6913829165250197	-1.310621198968897
9	-0.6035390772573815	-0.6035390772573815	0.13882629623372547	-0.08769996842608437	0.09503448281402294	-0.6035390772573815	-0.6035390772573815	-0.6035390772573815	-0.6035390772573815	-0.6035390772573815	5.400640658233633	-0.6035390772573815	0.01304405700207708	-0.6035390772573815	-0.12799383054093907
10	-0.7743599497701814	-0.7743599497701814	-0.7743599497701814	-0.7743599497701814	0.031212965900419335	-0.7743599497701814	0.2661118121838168	-0.16481642416083933	-0.7743599497701814	-0.16796015646351417	5.89183958150338	-0.14044643785014754	-0.0030520783986289083	-0.7743599497701814	-0.2923696143232165
11	-1.5643453304209054	0.13915161464478537	-0.7264713305616062	-0.8648080469222482	-0.7007142114941334	4.67515715049578	-0.9929267521481262	-0.30606396897724897	-0.48494122138757295	-0.6274329599608846	4.4707758166225195	-0.5126300960576874	-0.8667464040144419	-1.5643453304209054	-0.07365892939732681
12	37.92520149033387	-8.490297756297961	-10.84495108080736	-12.138073339677636	-10.76421643933957	53.24865751340493	-9.789692628649961	-10.197261832007603	-11.479626209821516	-11.443255490228264	36.62487653938926	-9.332228765753264	-11.413489302769301	-11.341789338557904	-10.56385335921771
13	38.90697170007569	-7.08187370413039	-10.949694812451687	-11.616975889218857	-13.079863356451131	44.673477054955015	-9.653708541611932	-8.171857404979306	-15.603806838814469	-13.44590647921845	45.5902350745192	-6.611891179367019	-9.042212265125094	-11.17839554635742	-12.734497811824156
14	20.49588183585586	-1.9563459855941507	-5.676223888535824	-6.331215056972788	-6.630488303756253	20.768770816145256	-5.142225132098547	-4.3649480083961185	-6.58177716443374	-7.267003060058409	21.041423499318615	-3.9478165383921264	-4.061773315602599	-4.429665033134035	-5.9165946643451255
15	9.225048556807753	-0.7575111730051599	-1.6320052758262098	-1.8887989190889096	-3.4326233984842274	9.349210314262468	-0.35483780532309966	-0.7647599862770909	-4.136990859022163	-5.1651178675764085	5.827811367191764	0.09728173828806774	-2.058537025928362	-2.1809242902943318	-2.1272453757241117
