Mass (u)	P1_2000μC-N	P1_500μC-N	P1_5000μC-N	P1_10000μC-N	P1_15000μC-N	P2_2000μC-N	P2_500μC-N	P2_5000μC-N	P2_10000μC-N	P2_15000μC-N	P3_2000μC-N	P3_500μC-N	P3_5000μC-N	P3_10000μC-N	P3_15000μC-N
0	-1.72012755489165	9.029099915060623	-2.0141875742463515	-2.2494034634547075	-2.509854422736406	-2.0314691092976265	7.927955869478415	-2.190440571509514	-2.3148987016157196	-2.6673986834473675	-1.8796439554158628	9.622084308572953	-2.040160822041848	-2.3936278683296783	-2.567927366125263
1	-8.725202226498347	60.76289425813883	-14.583317926100115	-18.396071419120698	-20.193605718322022	-12.312034513528484	65.35680493838147	-14.760456894548685	-18.907285627748582	-22.43809034777212	-11.019191204243207	66.41662863224	-13.846896852644644	-17.6959517587113	-19.65822333952219
2	-0.9456821238706765	7.003267998904802	-1.5686897577757204	-1.738121391133096	-2.306246076184738	-1.6361515300166827	7.6626060916797085	-1.656395722437034	-2.138789590509692	-2.3270629495343496	-1.1723364570180166	6.744013678793904	-1.6721861790705812	-2.087329234749366	-2.160896757078448
3	-0.1987263058263243	3.8058377370167844	-0.2905845599075604	-1.5447220043737018	-0.895126628147064	-0.7704665055668097	-1.5447220043737018	-0.3214881651315392	-0.9796395297374417	-0.5638640716264977	-0.3911675494523527	5.462820325537493	-0.5167029047639679	-0.9453281404047893	-0.3061196932425224
4	-0.6978197666838717	4.727133780579517	-0.6978197666838717	0.13829417493793805	-0.16005282437640128	0.08720092605753345	-0.6978197666838717	0.3148319686242897	-0.6978197666838717	-0.229009991963065	-0.6978197666838717	-0.6978197666838717	-0.6978197666838717	-0.09009197263796806	0.09643230556525786
5	-0.4934646799781302	3.888335450748442	-0.30110790015330696	-0.8606886522337351	-0.9132067900140275	-0.6702859803826572	-1.4415497607032517	-0.738045154233316	-1.0435200610838125	-0.9809555337667103	-0.4463999259398567	5.53891546873631	-0.5546991824851517	-0.49748685110320034	-0.48584044740759663
6	-0.30375625437072856	-1.2102771858573098	-0.2349537333419919	-0.8175528396810414	-0.8530607279204602	-0.4728228772325694	4.486980067813221	-1.2102771858573098	-0.5510932273326393	-0.8988661376932721	-0.6609168912702802	5.464163716810901	-0.7207009261555501	-0.806588612053659	-1.2102771858573098
7	-0.7231580238185394	5.21963671166796	-1.580310862184712	-1.655716351173634	-1.6512886487764267	-1.4560434609180146	6.542413599920065	-1.2945053421812585	-1.7709543416648954	-1.753516876766957	-0.880142322616498	5.751442577910322	-1.4067371904012216	-1.5075109013777068	-1.8336085676184881
8	0.19124847923287375	2.878650607185833	-0.030509408628394186	-0.8381800832492405	-0.7080026926109488	-0.0855304217853308	5.302267474314971	-0.7421929693779885	-0.6697548248559505	-0.9323071347510382	-0.6568606638736426	-1.29279188306805	-0.49132011933251457	-0.6319244761325253	-1.29279188306805
9	-0.5889922168102574	-0.5889922168102574	0.11711233909463742	-0.02035122015488581	0.1424782558597205	-0.5889922168102574	-0.5889922168102574	-0.5889922168102574	-0.5889922168102574	-0.5889922168102574	-0.5889922168102574	4.990627582029029	0.11988446722059488	-0.5889922168102574	-0.048821472756779276
10	-0.7464220691549692	-0.7464220691549692	-0.7464220691549692	-0.7464220691549692	0.15283324743200194	0.5662916289936148	-0.7464220691549692	-0.055111178706209844	-0.7464220691549692	-0.10633369224679579	0.05202879312355979	4.854315087652252	-0.03486247782370976	-0.7464220691549692	-0.20420692433992735
11	-0.10826920107360502	-1.501708357981716	-0.5836411500683217	-0.7623693355398303	-0.6335246371060189	-0.7001620152606444	4.69072022021574	-0.3456955390707159	-0.6743928320491696	-0.7448507258379835	-0.46748802730208855	4.421601321012759	-0.5800368680858687	-1.501708357981716	-0.5084744938708227
12	-8.75191707057937	40.583614374791765	-10.52245174769832	-11.550003729443928	-12.008178183457305	-10.122519855307068	46.62400854613926	-10.574878863704233	-11.741312548181972	-12.844064500211896	-9.669793437647169	44.270303244068366	-10.444105854975986	-11.428113584704032	-11.820586789088171
13	-7.680221494443655	42.14279442664638	-10.465092213217451	-12.37587603657954	-13.184456790304312	-9.611535330532176	47.06573460022651	-10.64741379946406	-12.750337879822446	-14.440718464155982	-8.897990048524244	46.1931326206202	-10.302918285616096	-12.10699610051956	-12.938105204313601
14	-2.251681156929227	20.962387298361342	-4.726334347036002	-6.533805304228721	-7.374909708120273	-3.6379031537057083	21.48637217319115	-4.894041307003272	-6.76262615412315	-8.275319312110147	-3.0274516192278003	22.740800131717844	-4.391378694610062	-6.191634971041478	-7.122473875134485
15	0.6050613908185387	7.698546353754849	-1.774972434653794	-2.8492355955655055	-3.5097220720270084	-0.3579609490993872	7.912527342305756	-1.3110419750779543	-2.8922764270080257	-4.426826957683056	-0.06440976504450231	8.281450083699642	-1.2588275246534835	-2.7610096381377525	-3.291301831628318
16	-13.68990001371811	70.45504408495242	-17.936590131904552	-20.27905607797134	-21.399257584329565	-16.973209392907233	79.40694935799915	-18.069790571191596	-20.56133190003999	-22.385401807488464	-16.367231192196257	76.82076643645814	-17.898034202954072	-20.02427778518626	-21.098679219522353
17	-8.782943898012924	55.54484037041188	-13.495773801734686	-16.429401225036617	-17.80087351933943	-11.969412994846932	59.82806429799417	-13.528017844985524	-16.671483600451072	-19.0230594405772	-11.249836681897504	60.163802893474106	-13.18344441488982	-15.976832819508166	-17.4256273206003
18	-2.8731443209958702	14.872032102982006	-3.937442558456875	-4.3822177857032605	-4.694369808118914	-3.6291424892474957	16.695215573935304	-3.944945613803442	-4.461029525534028	-4.81688281592615	-3.4792667204653283	17.51822008213578	-3.8716419800790005	-4.294382767422714	-4.701001373300012
