pattern	index	spearman_rho	p_value	n_points	significance
P1	OI	-0.8999999999999998	0.03738607346849874	5	*
P1	AOI	0.7	0.1881204043741873	5	ns
P1	AI_sim	0.8999999999999998	0.03738607346849874	5	*
P1	Aliph_Arom_Ratio	0.09999999999999999	0.8728885715695383	5	ns
P2	OI	-0.9999999999999999	1.4042654220543672e-24	5	***
P2	AOI	0.7999999999999999	0.10408803866182788	5	ns
P2	AI_sim	0.8999999999999998	0.03738607346849874	5	*
P2	Aliph_Arom_Ratio	0.0	1.0	5	ns
P3	OI	-0.8999999999999998	0.03738607346849874	5	*
P3	AOI	0.39999999999999997	0.5046315754686911	5	ns
P3	AI_sim	0.7	0.1881204043741873	5	ns
P3	Aliph_Arom_Ratio	0.09999999999999999	0.8728885715695383	5	ns
