Mass (u)	log2FC	p_value	mean_500	mean_15000	std_500	std_15000	n_500	n_15000	t_statistic	q_value	significant
0	0.0		0.0	0.0	0.0	0.0	3	3			False
1		0.011250905938414928	5.3148289233628665	-3.2197143905203673	1.6251526698288707	2.493347190836332	3	3	4.966786511174047	0.02077277654863189	True
2	0.1715016428722756	0.9114648226122757	-1.1475555457638185	-1.2924116224966065	0.6972150215554793	1.9222686535278726	3	3	0.12270027824370869	0.9190064937213607	False
3	-3.7854737961747413	0.06431383805032163	-2.24759767706735	-0.1629961755075322	0.6637436024909067	1.1267593739475898	3	3	-2.7610072972985322	0.08585243170097707	False
4		0.6319894800693173	0.4442788150772419	-0.025457432794173045	1.395436686259174	0.5818296387891153	3	3	0.5381440050147583	0.6598372417369984	False
5	0.0		0.0	0.0	0.0	0.0	3	3			False
6		0.031223310327122007	-0.5409668041885582	1.1748735739074654	0.0	0.5378194879115468	3	3	-5.52587397693794	0.04560528032369019	True
7	0.3718467467495109	0.8841106497258413	0.5989002460530587	0.7749818225156188	0.39596053776885426	1.8247248924233428	3	3	-0.16333737995221148	0.892480928066441	False
8	0.0		0.0	0.0	0.0	0.0	3	3			False
9		0.42264973081037427	-0.1217448769062787	0.48697950762511494	0.0	1.054341561814468	3	3	-1.0	0.46102329972026757	False
10	-5.9133262063968	0.3496790822834857	-0.9537539040514306	-0.015825147591741473	1.326508726706408	0.5599033630161525	3	3	-1.1282843222573384	0.3893945916289991	False
11	-1.5865964429074078	0.1295027687871024	-1.892450269828414	-0.6301027217448759	0.9215717870167915	0.3204169552804825	3	3	-2.240938080785	0.1612640317889027	False
12		0.006484185068327118	4.834561629417139	-1.7411779985041667	1.6473696320787412	1.2605814258728327	3	3	5.490665684651037	0.014109719038987325	True
13		0.06182450377173383	2.173438109407168	-1.866392823270264	1.4761059779319652	2.1380801447443494	3	3	2.693165649162199	0.08313089589953904	False
14		0.26202854439472845	0.05668858324016549	-2.3403508129812423	0.586928126888049	2.704841310671848	3	3	1.5000404020920066	0.300821464830018	False
15	-3.0754801180870346	0.04718490929965852	-6.130766859226289	-0.7272823273562746	0.7912356485302433	2.3745683019616735	3	3	-3.7392704712845624	0.06557720882205732	False
16		0.2648411402171677	0.4562520891146639	-0.9318349722647552	0.21470293960826978	1.5731038107937831	3	3	1.5143009375945982	0.3036417911360807	False
17		0.019092694737996446	1.720686429563212	-0.5244127400073155	0.7822203504405516	0.5212955193051235	3	3	4.136794567279819	0.030048097069208426	True
18		0.016876028082191977	-4.733402911617357	2.767904188095418	0.33146972879667536	1.8355287982704211	3	3	-6.965751504232582	0.027243478539514605	True
19		0.0015486828380301323	-7.566860087863332	1.00723760805241	0.3483331021637573	0.9378522615285175	3	3	-14.844073627497895	0.005819464078693927	True
20		0.03919836972263835	-1.5795166137062158	0.5781826855477585	2.7194799110210365e-16	0.7625242343373696	3	3	-4.901148901859227	0.0558200490374132	False
21	-1.7047861323896856	0.5677041577735495	-0.4742230747479561	-0.14547585563244803	0.5844319223531995	0.701490168497859	3	3	-0.6236358386439912	0.5985805272939898	False
22		0.02030782734952036	-0.9939996520361275	0.117988846574296	1.3597399555105182e-16	0.27873201273853715	3	3	-6.9099367457019705	0.031381479581776936	True
23		0.32051803557618685	-3.13212206272801	5.613258524926173	1.1861330901602973	11.576813295731558	3	3	-1.301615391499342	0.35973932150853605	False
24	0.4411827935186303	0.9464319787487266	0.4844291830148921	0.6577177349524227	0.5708479569090505	3.9334648992420598	3	3	-0.07551431020285919	0.950891022229286	False
25		0.0016504862084393594	4.679985599719237	-1.237146797680545	0.8741407096276335	0.48572003581579243	3	3	10.248538574891585	0.005949264191996606	True
26		0.10775922345918502	1.9884911519523498	-3.174452398773943	1.068888936669805	3.3898663840610235	3	3	2.5158944700606147	0.13698750761651987	False
27	-4.635309819972453	0.023541100075156023	-20.304046826277233	-0.8169873110525638	0.6923902784648748	5.444143618264411	3	3	-6.150255022760291	0.03547801831114503	True
28		0.0028033596262202667	6.593051256360858	-6.6427095811076775	2.4732645408799283	2.473832840614735	3	3	6.553511624142839	0.008126784780594157	True
29		0.008661427782734052	-17.1285798502215	0.3270305095567772	0.5827318209319451	3.11752233334932	3	3	-9.532977854414616	0.01711785307289228	True
30		0.0016566229418305675	-5.034403705124713	0.20276101427994508	0.8900134343530772	0.7701569269639028	3	3	-7.707088309377134	0.005949264191996606	True
31		0.00030873628938337766	-10.48243056233705	4.231580457419937	0.5447293072151427	1.1140974816197295	3	3	-20.55046029935133	0.0023941095894911015	True
32		0.0019208789268973193	-3.809136608479214	1.1828500713234613	0.72898999546619	0.3676534670564804	3	3	-10.59016828049895	0.006400428611888334	True
33		0.019454432622303466	-3.0501111356573856	0.9540629897869052	1.108823296340115	0.28094609726814934	3	3	-6.06317392712426	0.030561014782366218	True
34		0.00829945456762035	-1.4917624790601256	0.09552359826794922	0.4278160404027705	0.3259145655288069	3	3	-5.111890017689712	0.0166574935204239	True
35		0.02258462115426097	-2.5700803394150444	0.2567229053361128	0.9928658118463437	0.4945811981696949	3	3	-4.414019711311484	0.034180436947501225	True
36		0.0003508616721072826	4.12693730725891	-1.1556352159821535	0.5947494019861483	0.4957661191597712	3	3	11.81700869449922	0.002602478315717496	True
37		0.0007990201261065912	7.6050996145266	-2.2861098116314373	0.9996837343213628	1.3562969100372204	3	3	10.16797098421647	0.003962582369586757	True
38		0.05384635884018028	4.618892112929695	-1.993688009294667	1.7585502909956061	3.3041970808806402	3	3	3.059913405426483	0.07384396156056879	False
39		0.013239485814850755	-10.58679795525271	1.6324224379974945	1.0581950994832816	3.0879055323482194	3	3	-6.483786013759587	0.023527669583474364	True
40		7.868484813787583e-05	-8.766210224274596	1.5413913347483366	0.7476589584567412	0.5545318683727269	3	3	-19.179359021260776	0.0010840099823786426	True
41		0.003367221194227358	-21.492787950432046	2.589946023390128	0.7450925237757687	2.9911531054398424	3	3	-13.531790067328377	0.009295274041022449	True
42		0.00197414626910472	-12.204626409569402	0.7441474591039646	0.6021493431487952	1.5833135523147885	3	3	-13.240023620425704	0.006451903323932284	True
43		0.0029230919893759207	-20.125273603125763	2.4913321028095585	0.48368206167863925	2.450539272209468	3	3	-15.682936784018118	0.008339121963002207	True
44		0.0014337923476479154	-9.178675934330437	0.899049976226333	0.7775526422952669	1.4128608032983994	3	3	-10.823624505471605	0.005584588459103524	True
45		5.807175953321414e-05	13.560769026947396	-5.149650864097545	0.9901086733796646	1.2795674894493947	3	3	20.030502502932933	0.0009346266204119182	True
46		0.007772279808846709	5.620703156104484	-0.5192444120502029	0.163449756558911	1.0166889454469479	3	3	10.327521699416755	0.015920557101125988	True
47		0.0003857456167119908	5.83387925365449	-1.9984758360519843	0.80166466177852	0.5064538748862765	3	3	14.306522498548311	0.0027961706426717675	True
48	-3.8673638649847115	0.016749291141556225	-2.2688427258678723	-0.1554575663965124	0.41429430149153657	0.693905253736732	3	3	-4.529337889947302	0.027243478539514605	True
49		0.001044126126185396	5.7383856862572	-1.8753012650370104	0.9144956358100951	0.46998247814183786	3	3	12.825667695017172	0.004712378759979591	True
50		0.012237793108569796	9.18123972601984	-1.9248870543238796	0.5687419874329825	2.4377155674859723	3	3	7.6847664030454865	0.02205295904140742	True
51	-2.722131960541385	0.18231500068038076	5.923752265779018	0.897746075952574	0.9926925344194037	4.412152814819019	3	3	1.9249086203994983	0.21689636761557154	False
52		0.17280595103233853	-3.0900022310317397	1.5850270112046072	1.4311994070668914	4.028831676970475	3	3	-1.8939087219085815	0.20702735425643928	False
53		0.03298721077474413	-8.798764592758529	3.126654261849284	0.5772214453340138	3.9847346969842423	3	3	-5.130095051513333	0.04809930049719102	True
54		0.011186290762237386	-8.054568381959323	0.5753241420952059	0.4069472154683873	1.8036032448896446	3	3	-8.084300737021449	0.02069827770105963	True
55		0.0024378389321795223	-18.68565810835213	3.6045972984562553	0.5474313813220036	2.3399761780543082	3	3	-16.065464972676647	0.007480131687586808	True
56		0.0017679851803625087	-10.309057381098475	1.1306053379090104	0.19571628717218392	0.9829498597491263	3	3	-19.769691609480358	0.0060597927569940755	True
57		1.1017103640120966e-07	-16.687859100061235	1.9398446483251404	0.1895842866439975	0.24271292182652807	3	3	-104.76042299586831	4.698794702511592e-05	True
58		3.4980398198199444e-05	-9.346401358477381	2.344874541863672	0.11925119503901263	0.30555108141727866	3	3	-61.737935468252125	0.000693913480536375	True
59		3.0222861084858368e-06	-8.932405516065451	1.492771358465302	0.28456169123422553	0.19540811767167862	3	3	-52.30935675921853	0.00021483417087820155	True
60		0.010256003828077192	-3.638485362767548	0.11287065811632846	0.6838682650953706	0.07222168237655571	3	3	-9.448612309545304	0.01952761443158447	True
61		0.01971947760095081	-8.34264709982962	0.3297735839920384	0.4327138624303444	2.3007406013345273	3	3	-6.416304779709846	0.030807169219067836	True
62		0.002498492786650473	10.545941033714358	-1.7190832898373694	0.49039432087656853	1.5065409544254358	3	3	13.408463383943271	0.007568820341745667	True
63		0.018373934706338278	10.280265344119298	-0.2750794784349184	0.12192949075395533	2.5263565652159015	3	3	7.22825042774789	0.02918615699163231	True
64	-2.1802549016272046	0.09112184616613025	4.481078100651704	0.9886905648593259	0.6698066741345479	2.102110991502056	3	3	2.741760777374849	0.11776808299955925	False
65		0.006807075537544336	-7.866107871473929	4.99249076650826	0.920540416112231	2.5236901698868723	3	3	-8.290748987789627	0.0146108213712904	True
66		0.021048069959862237	-4.418572842836305	3.0370302167191716	0.8099211723002324	2.311702942165486	3	3	-5.271932611661986	0.03234955617254502	True
67		0.002693501004401731	-11.172708296733456	3.079961146786534	0.5742848991670786	1.7920061968465884	3	3	-13.118627401799198	0.007922608126740264	True
68		0.001322381495262465	-7.808437231211923	2.080335273912687	0.40707287647364904	1.0481792703359458	3	3	-15.232206255366663	0.005398715984099888	True
69		0.0017323048670596418	-12.804783216541402	3.293519664462091	0.3289960518146699	1.4360538281186501	3	3	-18.926134712284835	0.006033778729574072	True
70		0.0015113489001699044	-7.89021326557929	1.3977374754359537	0.3860444383327348	1.0193943177262348	3	3	-14.758310910677924	0.005765263733373842	True
71		0.002307559204806317	-9.224139965265008	2.07251380220498	0.1235660515376865	1.002509599770868	3	3	-19.370809271841928	0.007183751831021126	True
72		0.010057288379156724	5.063100848800031	-1.0312021018783417	1.162900153046921	0.21080519598669048	3	3	8.931437168780603	0.019278352780720643	True
73		0.001132962599889341	-6.9315349191575715	0.1742845677046612	0.39476421016005997	0.8285590640792383	3	3	-13.410000387036574	0.004905670546728975	True
74		9.082137590367405e-05	11.325473699063712	-1.7990240363783903	0.5783124911693645	0.8928862292953929	3	3	21.36876183519761	0.0011737974794823326	True
75		8.19700555052652e-05	9.745815061285178	-0.48197572201808403	0.24889816750788518	0.5003825682446914	3	3	31.698120938906357	0.0011098485293014478	True
76	-5.17820422892211	0.019670206535469834	6.194053515342066	0.17107248201964176	0.3424282198317114	1.6224791811160266	3	3	6.2911465122414345	0.030786580137166546	True
77		0.010376485256295483	-9.088542037990193	4.863266939110204	0.948934257755445	3.0698590936849923	3	3	-7.52066772766484	0.019713010965746208	True
78		0.009130528251840606	-6.395102318785493	4.039263277437446	0.5566230413281116	2.0759707387066486	3	3	-8.408721260075517	0.017863166511055132	True
