pattern	index	spearman_rho	p_value	n_points	significance
P1	OI	-0.39999999999999997	0.5046315754686911	5	ns
P1	AOI	-0.10259783520851541	0.8695979205185651	5	ns
P1	AI_sim	0.8999999999999998	0.03738607346849874	5	*
P1	Aliph_Arom_Ratio	0.6668859288553501	0.21889398131323168	5	ns
P2	OI	-0.39999999999999997	0.5046315754686911	5	ns
P2	AOI	-0.3354101966249684	0.5810906728217108	5	ns
P2	AI_sim	0.7999999999999999	0.10408803866182788	5	ns
P2	Aliph_Arom_Ratio	-0.41039134083406165	0.49253578170279755	5	ns
P3	OI	-0.3	0.6238376647810728	5	ns
P3	AOI	0.11180339887498947	0.8579446176050993	5	ns
P3	AI_sim	0.6	0.28475697986529375	5	ns
P3	Aliph_Arom_Ratio	0.8944271909999157	0.040519326353834054	5	*
